Context,K,Average,Median,Std,Min,Max,Coverage
Same Source,5,4.264077944083592,5.0,1.608478025129622,0,5,91.65546455803445
Same Destination,5,4.117791584298221,5.0,1.7151754784356452,0,5,90.30782264896922
Same Endpoint,5,4.955447613668455,5.0,0.4042737710903622,0,5,99.68765885343124
Same Source OR Destination,5,4.916639367410336,5.0,0.5495533881483721,0,5,99.41937305845806
Same Source,10,8.08340016944366,10.0,3.5333394270728684,0,10,91.65546455803445
Same Destination,10,7.666534877153347,10.0,3.7476681776946643,0,10,90.30782264896922
Same Endpoint,10,9.84110703191189,10.0,1.0516511755249593,0,10,99.68765885343124
Same Source OR Destination,10,9.706868116351313,10.0,1.4177750613750306,0,10,99.41937305845806
Same Source,20,15.077339734538265,20.0,7.692512042569545,0,20,91.65546455803445
Same Destination,20,13.924524145721547,20.0,8.076677304011787,0,20,90.30782264896922
Same Endpoint,20,19.426342841005365,20.0,2.780756417310232,0,20,99.68765885343124
Same Source OR Destination,20,18.947483761649252,20.0,3.704783465381569,0,20,99.41937305845806
Same Source,30,21.498045749788197,30.0,12.023982864680468,0,30,91.65546455803445
Same Destination,30,19.4869923750353,30.0,12.513133804660123,0,30,90.30782264896922
Same Endpoint,30,28.77929963287207,30.0,4.91350612159713,0,30,99.68765885343124
Same Source OR Destination,30,27.76591923185541,30.0,6.483681754768624,0,30,99.41937305845806
Same Source,64,40.40534312341146,64.0,26.996580174544647,0,64,91.65546455803445
Same Destination,64,35.141852584015815,36.0,27.361742552441456,0,64,90.30782264896922
Same Endpoint,64,58.959644168314036,64.0,14.126163815336275,0,64,99.68765885343124
Same Source OR Destination,64,55.00952838181305,64.0,18.03217165210375,0,64,99.41937305845806
Same Source,128,67.65771815871223,64.0,54.07852263550197,0,128,91.65546455803445
Same Destination,128,56.47218299915278,36.0,52.98683277856163,0,128,90.30782264896922
Same Endpoint,128,109.88655182151935,128.0,36.093586604213655,0,128,99.68765885343124
Same Source OR Destination,128,97.02283535724372,128.0,43.505423947906095,0,128,99.41937305845806
Same Source,256,104.32273369104773,64.0,101.59398760183645,0,256,91.65546455803445
Same Destination,256,83.89038124823496,36.0,95.7970420752721,0,256,90.30782264896922
Same Endpoint,256,193.37085004236093,256.0,87.12574134975569,0,256,99.68765885343124
Same Source OR Destination,256,157.17251059022874,171.0,95.70927384692268,0,256,99.41937305845806
Same Source,512,143.86357526122563,64.0,171.9955540955005,0,512,91.65546455803445
Same Destination,512,114.22870375600112,36.0,160.3131212312377,0,512,90.30782264896922
Same Endpoint,512,312.0390002824061,332.0,191.26985725040407,0,512,99.68765885343124
Same Source OR Destination,512,227.49854843264615,171.0,184.88559470596024,0,512,99.41937305845806
