record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,1,1745315777548510,1745315777,548510,385509542109750,0,4,185.239.60.98,13.107.253.67,65360,443,6,58,40,0,126,924289689,3022114234,16,2047,20,-1,-1,-1,0,0,0,0
packet,4,1745315777548548,1745315777,548548,385673646264194,0,4,185.239.61.29,62.45.25.36,43050,52426,17,1374,1356,1328,62,0,0,0,-1,-1,1336,-1,-1,1,0,0,0
packet,5,1745315777548629,1745315777,548629,385673646264194,0,4,185.239.61.29,62.45.25.36,43050,52426,17,1374,1356,1328,62,0,0,0,-1,-1,1336,-1,-1,1,81,81,0
packet,7,1745315777548738,1745315777,548738,385673646264194,0,4,185.239.61.29,62.45.25.36,43050,52426,17,1374,1356,1328,62,0,0,0,-1,-1,1336,-1,-1,1,109,109,0
packet,14,1745315777548828,1745315777,548828,386877604000282,0,4,185.41.136.21,10.121.1.237,12366,12370,17,218,200,172,63,0,0,0,-1,-1,180,-1,-1,1,0,0,0
packet,16,1745315777548840,1745315777,548840,385673646264194,0,4,185.239.61.29,62.45.25.36,43050,52426,17,1374,1356,1328,62,0,0,0,-1,-1,1336,-1,-1,1,102,102,0
packet,20,1745315777548853,1745315777,548853,386985077117852,0,4,52.112.215.159,185.239.60.98,3478,64033,17,163,145,117,107,0,0,0,-1,-1,125,-1,-1,1,0,0,0
packet,26,1745315777548946,1745315777,548946,385673646264194,0,4,185.239.61.29,62.45.25.36,43050,52426,17,1374,1356,1328,62,0,0,0,-1,-1,1336,-1,-1,1,106,106,0
packet,32,1745315777549132,1745315777,549132,388179717062562,0,4,185.41.137.64,1.1.1.2,62980,53,17,97,79,51,126,0,0,0,-1,-1,59,-1,-1,12,0,0,0
packet,2,1745315777548515,1745315777,548515,385530234353065,0,4,185.41.138.24,216.58.206.36,58868,443,17,86,68,40,62,0,0,0,-1,-1,48,-1,-1,22,0,0,0
packet,3,1745315777548520,1745315777,548520,385551213892297,0,4,185.239.61.100,45.88.49.28,3410,37586,17,162,144,116,63,0,0,0,-1,-1,124,-1,-1,1,0,0,0
packet,33,1745315777549188,1745315777,549188,385673646264194,0,4,185.239.61.29,62.45.25.36,43050,52426,17,1374,1356,1328,62,0,0,0,-1,-1,1336,-1,-1,1,242,242,0
packet,6,1745315777548678,1745315777,548678,386230153901883,0,4,185.239.61.53,149.154.167.41,50924,443,6,70,52,0,62,1525893733,3498713283,17,65535,32,-1,-1,-1,0,0,0,0
packet,39,1745315777549246,1745315777,549246,388668801333796,0,4,185.41.138.25,40.99.204.82,63853,443,17,85,67,39,126,0,0,0,-1,-1,47,-1,-1,22,0,0,0
packet,8,1745315777548746,1745315777,548746,386522563680975,0,4,185.239.62.150,18.239.63.68,42186,443,6,70,52,0,126,2356789577,3617421033,16,2047,32,-1,-1,-1,0,0,0,0
packet,9,1745315777548753,1745315777,548753,386522563680975,0,4,185.239.62.150,18.239.63.68,42186,443,6,70,52,0,126,2356789577,3617423913,16,2047,32,-1,-1,-1,0,7,7,0
packet,10,1745315777548782,1745315777,548782,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557351745,1759714380,16,16383,20,-1,-1,-1,0,0,0,0
packet,11,1745315777548798,1745315777,548798,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557353205,1759714380,16,16383,20,-1,-1,-1,0,16,16,0
packet,12,1745315777548809,1745315777,548809,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557354665,1759714380,16,16383,20,-1,-1,-1,0,11,11,0
packet,13,1745315777548819,1745315777,548819,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557356125,1759714380,16,16383,20,-1,-1,-1,0,10,10,0
packet,15,1745315777548834,1745315777,548834,386899905116885,0,4,94.247.2.164,185.239.61.100,37714,3410,17,178,160,132,56,0,0,0,-1,-1,140,-1,-1,1,0,0,0
packet,17,1745315777548840,1745315777,548840,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557357585,1759714380,16,16383,20,-1,-1,-1,0,21,21,0
packet,18,1745315777548847,1745315777,548847,386955427898681,0,4,185.41.138.38,216.58.206.35,8714,443,17,77,59,31,62,0,0,0,-1,-1,39,-1,-1,22,0,0,0
packet,19,1745315777548847,1745315777,548847,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557359045,1759714380,16,16383,20,-1,-1,-1,0,7,7,0
packet,21,1745315777548859,1745315777,548859,386899905116885,0,4,94.247.2.164,185.239.61.100,37714,3410,17,690,672,644,56,0,0,0,-1,-1,652,-1,-1,1,25,25,0
packet,40,1745315777549250,1745315777,549250,388689629530998,0,4,154.61.81.8,185.239.61.95,443,55528,6,8818,8800,8760,55,63652076,3054565802,24,83,20,-1,-1,-1,0,0,0,1
packet,43,1745315777549277,1745315777,549277,388804421182294,0,4,185.239.60.34,92.66.195.195,63244,64834,17,111,93,65,126,0,0,0,-1,-1,73,-1,-1,1,0,0,0
packet,45,1745315777549293,1745315777,549293,388689629530998,1,4,185.239.61.95,154.61.81.8,55528,443,6,58,40,0,126,3054565802,63618496,16,809,20,-1,-1,-1,0,43,0,0
packet,46,1745315777549296,1745315777,549296,388884266952076,0,4,185.41.138.25,52.108.10.12,64765,443,6,58,40,0,126,351624642,1767523631,16,255,20,-1,-1,-1,0,0,0,0
packet,47,1745315777549299,1745315777,549299,385673646264194,0,4,185.239.61.29,62.45.25.36,43050,52426,17,1374,1356,1328,62,0,0,0,-1,-1,1336,-1,-1,1,111,111,0
packet,48,1745315777549299,1745315777,549299,388898497311580,0,4,145.131.159.59,185.41.137.152,56458,17974,17,218,200,172,40,0,0,0,-1,-1,180,-1,-1,1,0,0,0
packet,50,1745315777549306,1745315777,549306,388930311914626,0,4,185.239.63.166,81.23.245.113,54001,5002,17,1378,1360,1332,62,0,0,0,-1,-1,1340,-1,-1,1,0,0,0
packet,22,1745315777548864,1745315777,548864,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557360505,1759714380,16,16383,20,-1,-1,-1,0,17,17,0
packet,54,1745315777549317,1745315777,549317,388977620989456,0,4,184.104.206.26,185.41.137.190,80,53504,6,1518,1500,1460,56,2237390294,343967826,16,15598,20,-1,-1,-1,0,0,0,0
packet,55,1745315777549318,1745315777,549318,388978852851952,0,4,213.136.27.9,185.239.62.150,443,38631,6,64,40,0,57,2689350469,2637959971,16,4202,20,-1,-1,-1,0,0,0,0
packet,57,1745315777549330,1745315777,549330,389033183061048,0,4,107.155.103.164,185.41.138.211,443,52954,6,1518,1500,1448,52,1492082913,1846327304,16,15032,32,-1,-1,-1,0,0,0,0
packet,23,1745315777548870,1745315777,548870,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557361965,1759714380,16,16383,20,-1,-1,-1,0,6,6,0
packet,24,1745315777548877,1745315777,548877,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557363425,1759714380,16,16383,20,-1,-1,-1,0,7,7,0
packet,25,1745315777548883,1745315777,548883,386677998014783,0,4,195.121.70.19,185.41.137.98,443,57018,6,1518,1500,1460,121,2557364885,1759714380,16,16383,20,-1,-1,-1,0,6,6,0
packet,27,1745315777548946,1745315777,548946,387381718976401,0,4,212.98.113.162,185.41.138.155,0,0,50,1502,1484,1456,54,0,0,0,-1,-1,-1,-1,-1,0,0,0,0
packet,28,1745315777548954,1745315777,548954,386522563680975,0,4,185.239.62.150,18.239.63.68,42186,443,6,70,52,0,126,2356789577,3617438313,16,2047,32,-1,-1,-1,0,201,201,0
packet,59,1745315777549348,1745315777,549348,389110724020756,0,4,71.18.73.11,185.41.139.202,443,64750,6,5430,5412,5360,54,2892040341,1811130392,24,80,32,-1,-1,-1,0,0,0,1
packet,29,1745315777548962,1745315777,548962,387381718976401,0,4,212.98.113.162,185.41.138.155,0,0,50,1502,1484,1456,54,0,0,0,-1,-1,-1,-1,-1,0,16,16,0
packet,30,1745315777548969,1745315777,548969,387381718976401,0,4,212.98.113.162,185.41.138.155,0,0,50,1502,1484,1456,54,0,0,0,-1,-1,-1,-1,-1,0,7,7,0
packet,31,1745315777548976,1745315777,548976,387381718976401,0,4,212.98.113.162,185.41.138.155,0,0,50,1502,1484,1456,54,0,0,0,-1,-1,-1,-1,-1,0,7,7,0
packet,62,1745315777549361,1745315777,549361,388930311914626,0,4,185.239.63.166,81.23.245.113,54001,5002,17,1378,1360,1332,62,0,0,0,-1,-1,1340,-1,-1,1,55,55,0
packet,34,1745315777549218,1745315777,549218,388552047932327,0,4,52.97.250.210,185.239.61.100,443,65208,6,64,40,0,112,290895770,2557814177,16,16384,20,-1,-1,-1,0,0,0,0
packet,64,1745315777549372,1745315777,549372,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,73,0,0
packet,35,1745315777549226,1745315777,549226,388584681934383,0,4,94.124.59.115,185.41.138.210,13474,43522,17,218,200,172,55,0,0,0,-1,-1,180,-1,-1,1,0,0,0
packet,36,1745315777549227,1745315777,549227,388590949260417,0,4,185.41.138.25,52.108.11.12,64762,443,6,68,40,0,127,158873175,3558007117,16,251,20,-1,-1,-1,0,0,0,0
packet,37,1745315777549237,1745315777,549237,388632705931727,0,4,185.41.138.25,52.108.11.12,64762,443,6,58,40,0,126,158873175,3558007117,16,251,20,-1,-1,-1,0,0,0,0
packet,38,1745315777549239,1745315777,549239,388639882547001,0,4,185.41.138.25,40.99.204.82,63853,443,17,89,67,39,127,0,0,0,-1,-1,47,-1,-1,22,0,0,0
packet,41,1745315777549270,1745315777,549270,388775499531161,0,4,1.1.1.1,185.239.62.178,853,18764,6,275,257,205,58,1203326320,241999052,24,25,32,-1,-1,-1,0,0,0,0
packet,42,1745315777549272,1745315777,549272,388783724591549,0,4,20.64.105.47,185.41.138.82,51792,80,6,64,40,0,241,3943302883,0,2,65535,20,-1,-1,-1,0,0,0,1
packet,44,1745315777549283,1745315777,549283,388827987021423,0,4,185.41.138.25,52.108.10.12,64765,443,6,68,40,0,127,351624642,1767523631,16,255,20,-1,-1,-1,0,0,0,0
packet,49,1745315777549306,1745315777,549306,388926619237509,0,4,142.250.186.35,185.239.60.185,80,63374,6,70,52,0,58,1725981308,911003902,16,1050,32,-1,-1,-1,0,0,0,0
packet,51,1745315777549307,1745315777,549307,386522563680975,0,4,185.239.62.150,18.239.63.68,42186,443,6,70,52,0,126,2356789577,3617462793,16,2047,32,-1,-1,-1,0,353,353,0
packet,52,1745315777549315,1745315777,549315,388967107143979,0,4,158.115.151.248,185.239.62.122,443,43520,6,70,52,0,111,965533244,3150317143,16,56,32,-1,-1,-1,0,0,0,0
packet,65,1745315777549374,1745315777,549374,389110724020756,0,4,71.18.73.11,185.41.139.202,443,64750,6,5430,5412,5360,54,2892045701,1811130392,24,80,32,-1,-1,-1,0,26,26,1
packet,66,1745315777549375,1745315777,549375,389227056580754,0,4,185.41.137.226,40.64.145.243,49231,443,6,162,144,104,126,2814444158,3636230127,24,4095,20,-1,-1,-1,0,0,0,0
packet,67,1745315777549380,1745315777,549380,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,8,8,0
packet,68,1745315777549386,1745315777,549386,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,6,6,0
packet,69,1745315777549388,1745315777,549388,389281608502196,0,4,185.239.61.107,212.118.186.10,6021,48474,6,58,40,0,125,1296111308,4212987894,16,32,20,-1,-1,-1,0,0,0,0
packet,70,1745315777549392,1745315777,549392,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,6,6,0
packet,71,1745315777549400,1745315777,549400,388930311914626,0,4,185.239.63.166,81.23.245.113,54001,5002,17,1378,1360,1332,62,0,0,0,-1,-1,1340,-1,-1,1,39,39,0
packet,72,1745315777549402,1745315777,549402,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,10,10,0
packet,53,1745315777549317,1745315777,549317,388974457745785,0,4,185.239.61.100,17.188.185.134,53181,5223,6,1358,1340,1288,62,1255320333,816240687,16,2048,32,-1,-1,-1,0,0,0,0
packet,56,1745315777549327,1745315777,549327,388974457745785,0,4,185.239.61.100,17.188.185.134,53181,5223,6,1358,1340,1288,62,1255321621,816240687,16,2048,32,-1,-1,-1,0,10,10,0
packet,73,1745315777549404,1745315777,549404,385673646264194,0,4,185.239.61.29,62.45.25.36,43050,52426,17,1374,1356,1328,62,0,0,0,-1,-1,1336,-1,-1,1,2,105,0
packet,58,1745315777549337,1745315777,549337,388974457745785,0,4,185.239.61.100,17.188.185.134,53181,5223,6,1358,1340,1288,62,1255322909,816240687,16,2048,32,-1,-1,-1,0,10,10,0
packet,60,1745315777549349,1745315777,549349,389111727759331,0,4,185.239.63.166,158.106.100.62,35126,10170,17,1378,1360,1332,62,0,0,0,-1,-1,1340,-1,-1,1,0,0,0
packet,61,1745315777549359,1745315777,549359,389158195998237,0,4,89.184.187.214,185.239.60.62,30664,12164,17,218,200,172,58,0,0,0,-1,-1,180,-1,-1,1,0,0,0
packet,63,1745315777549365,1745315777,549365,389180348600631,0,4,92.68.87.193,185.239.60.34,58650,8080,6,64,40,0,51,4196166043,1397417437,16,1825,20,-1,-1,-1,0,0,0,0
packet,75,1745315777549411,1745315777,549411,389380480538393,0,4,185.41.139.202,18.202.125.44,51066,10708,17,218,200,172,125,0,0,0,-1,-1,180,-1,-1,1,0,0,0
packet,76,1745315777549416,1745315777,549416,386522563680975,0,4,185.239.62.150,18.239.63.68,42186,443,6,70,52,0,126,2356789577,3617464233,16,2047,32,-1,-1,-1,0,109,109,0
packet,86,1745315777549457,1745315777,549457,389575851607615,0,4,185.239.60.34,92.66.195.195,60514,60041,17,111,93,65,126,0,0,0,-1,-1,73,-1,-1,1,0,0,0
packet,91,1745315777549481,1745315777,549481,389681783106227,0,4,185.41.137.98,75.2.101.69,51301,443,6,70,52,0,63,3496068774,2681234479,16,85,32,-1,-1,-1,0,0,0,0
packet,105,1745315777549544,1745315777,549544,389951823159003,0,4,77.222.72.66,54.76.192.225,12677,13336,17,218,200,172,63,0,0,0,-1,-1,180,-1,-1,1,0,0,0
packet,74,1745315777549411,1745315777,549411,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,7,9,0
packet,77,1745315777549420,1745315777,549420,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,9,9,0
packet,78,1745315777549424,1745315777,549424,389436201115360,0,4,185.41.137.130,141.101.90.1,28471,3478,17,1248,1230,1202,254,0,0,0,-1,-1,1210,-1,-1,1,0,0,0
packet,79,1745315777549429,1745315777,549429,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,9,9,0
packet,80,1745315777549435,1745315777,549435,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,6,6,0
packet,81,1745315777549435,1745315777,549435,389481730819628,0,4,185.239.61.100,217.104.40.156,3410,3410,17,322,304,276,63,0,0,0,-1,-1,284,-1,-1,1,0,0,0
packet,82,1745315777549441,1745315777,549441,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,6,6,0
packet,83,1745315777549447,1745315777,549447,385673646264194,1,4,62.45.25.36,185.239.61.29,52426,43050,17,94,76,48,121,0,0,0,-1,-1,56,-1,-1,1,6,6,0
packet,84,1745315777549447,1745315777,549447,389436201115360,0,4,185.41.137.130,141.101.90.1,28471,3478,17,1248,1230,1202,254,0,0,0,-1,-1,1210,-1,-1,1,23,23,0
