flow_id,flow_start_timestamp_us,flow_end_timestamp_us,source_ip,source_port,destination_ip,destination_port,protocol,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_per_s,flow_packets_per_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_per_s,bwd_packets_per_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,has_init_win_bytes_forward,init_win_bytes_forward,has_init_win_bytes_backward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
828521068908714,1499254962389513,1499254986392501,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,5353,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,17,24002988,33,0,1485,0,45,45,45.0,0.0,0,0,0.0,0.0,61.867298,1.374829,750093.375,3121467.827572,16000562,2,24002988,750093.375,3121467.827572,16000562,2,0,0.0,0.0,0,0,0,0,0,0,1584,0,1.374829,0.0,45,45,45.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,45.0,45.0,0.0,0,0,0,0,0,0,40.0,6.557439,47,34,12001434.0,5655621.055266,16000562,8002306,0
1171805839816055,1499255116272832,1499255156796549,192.168.10.12,36906,202.55.13.210,443,6,40523717,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.049354,40523717.0,0.0,40523717,40523717,40523717,40523717.0,0.0,40523717,40523717,0,0.0,0.0,0,0,0,0,0,0,100,0,0.049354,0.0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,29200,0,0,0,20,0.0,0.0,0,0,40523717.0,0.0,40523717,40523717,0
2167907913892403,1499255087373683,1499255097589295,192.168.10.14,49513,192.168.10.3,135,6,10215612,14,10,544,472,156,0,38.857143,64.715778,152,0,47.2,65.014186,99.455618,2.349345,444157.043478,2117207.270728,10156297,1,10215612,785816.307692,2815525.792617,10156297,1,10215462,1135051.333333,3404966.500975,10214962,1,4,4,0,0,584,424,1.370451,0.978894,0,156,42.333333,63.551873,4038.84058,4,4,0,8,22,0,0,0,0.714286,42.333333,38.857143,47.2,1,8192,1,8192,4,20,29657.5,41739.806187,59172,143,10156297.0,0.0,10156297,10156297,0
204172218662473,1499255016375217,1499255156796568,192.168.10.9,13794,54.65.28.113,443,6,140421351,4,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.04985,23403558.5,56546638.135185,138828453,189882,140421351,46807117.0,79857492.863214,139018607,700753,1403016,701508.0,735.391052,702028,700988,0,0,0,0,192,120,0.028486,0.021364,0,0,0.0,0.0,0.0,0,3,3,0,3,0,0,0,0.75,0.0,0.0,0.0,1,8192,1,0,0,20,796449.0,1126348.977538,1592898,0,138828453.0,0.0,138828453,138828453,0
64109901647221,1499255056997966,1499255067589332,192.168.10.14,49485,192.168.10.3,135,6,10591366,14,10,544,472,156,0,38.857143,64.715778,152,0,47.2,65.014186,95.927192,2.265997,460494.173913,2195894.068071,10533609,0,10591366,814720.461538,2920205.377538,10533609,1,10591249,1176805.444444,3530233.334197,10590761,0,4,4,0,0,584,424,1.321831,0.944165,0,156,42.333333,63.551873,4038.84058,4,4,0,8,22,0,0,0,0.714286,42.333333,38.857143,47.2,1,8192,1,8192,4,20,28878.5,40676.317588,57641,116,10533609.0,0.0,10533609,10533609,0
1620134054932729,1499255045967040,1499255157785851,192.168.10.12,47222,173.194.206.109,465,6,111818811,23,25,1381,4520,362,0,60.043478,80.846925,1418,0,180.8,401.677109,52.772874,0.429266,2379123.638298,15740406.574801,107983052,1,111818811,5082673.227273,22996467.652535,108032928,4,3785561,157731.708333,316540.126581,1320134,1,13,12,0,0,1192,1296,0.20569,0.223576,0,1418,122.9375,298.604799,89164.825798,2,2,1,25,45,0,0,0,1.086957,122.9375,60.043478,180.8,1,29200,1,42408,13,20,1917879.5,2712291.199897,3835759,0,107983052.0,0.0,107983052,107983052,0
2039803916982685,1499254975606000,1499254975606017,192.168.10.16,46047,255.255.255.255,3289,17,17,11,0,165,0,15,15,15.0,0.0,0,0,0.0,0.0,9705882.352941,647058.823529,1.7,1.567021,6,1,17,1.7,1.567021,6,1,0,0.0,0.0,0,0,0,0,0,0,308,0,647058.823529,0.0,15,15,15.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,15.0,15.0,0.0,0,0,0,0,0,0,17.0,0.0,17,17,0.0,0.0,0,0,0
1235715256278265,1499255188812000,1499255188812017,192.168.10.12,52514,255.255.255.255,1124,17,17,12,0,444,0,37,37,37.0,0.0,0,0,0.0,0.0,26117647.058824,705882.352941,1.545455,1.507557,6,1,17,1.545455,1.507557,6,1,0,0.0,0.0,0,0,0,0,0,0,336,0,705882.352941,0.0,37,37,37.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,37.0,37.0,0.0,0,0,0,0,0,0,17.0,0.0,17,17,0.0,0.0,0,0,0
252852645582316,1499254968583159,1499254968583331,192.168.10.17,35895,192.168.10.3,53,17,172,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,1290697.674419,23255.813953,57.333333,97.572195,170,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,56,56,11627.906977,11627.906977,32,79,55.5,27.135463,736.333333,0,0,0,0,0,0,0,0,1.0,55.5,32.0,79.0,0,0,0,0,0,0,172.0,0.0,172,172,0.0,0.0,0,0,0
988701640037862,1499255115885560,1499255271062935,192.168.10.14,49518,104.97.95.20,443,6,155177375,10,11,587,5384,249,0,58.7,99.086999,1460,0,489.454545,601.697825,38.478548,0.135329,7758868.75,32061671.408655,143541594,2,143737558,15970839.777778,47839040.234665,143541594,206,155153945,15515394.5,45157682.771601,143629204,2,3,5,0,0,412,452,0.064442,0.070887,0,1460,284.333333,483.771261,234034.633333,2,2,1,8,19,0,0,0,1.1,284.333333,58.7,489.454545,1,8192,1,29200,3,20,65321.333333,93402.707511,172305,0,77490705.5,93410062.323493,143541594,11439817,0
