record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,has_tcp,has_udp,has_icmp,tcp_seq,tcp_ack,tcp_flags,tcp_fin,tcp_syn,tcp_rst,tcp_psh,tcp_ack_flag,tcp_urg,tcp_ece,tcp_cwr,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,51,1499254962389513,1499254962,389513,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,0,0,0
packet,52,1499254962389528,1499254962,389528,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,15,15,0
packet,53,1499254962389530,1499254962,389530,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,54,1499254962389532,1499254962,389532,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,55,1499254962389534,1499254962,389534,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,56,1499254962389537,1499254962,389537,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,3,3,0
packet,57,1499254962389539,1499254962,389539,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,58,1499254962389541,1499254962,389541,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,60,1499254962389543,1499254962,389543,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,62,1499254962389545,1499254962,389545,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,65,1499254962389547,1499254962,389547,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,985,1499254968575848,1499254968,575848,221450854597207,0,4,192.168.10.17,192.168.10.3,4410,53,17,86,72,44,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,12,0,0,0
packet,986,1499254968575852,1499254968,575852,221450854597207,0,4,192.168.10.17,192.168.10.3,4410,53,17,86,72,44,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,12,4,4,0
packet,987,1499254968576014,1499254968,576014,221450854597207,1,4,192.168.10.3,192.168.10.17,53,4410,17,136,122,94,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,12,162,0,0
packet,988,1499254968576017,1499254968,576017,221450854597207,1,4,192.168.10.3,192.168.10.17,53,4410,17,136,122,94,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,12,3,3,0
packet,1051,1499254968583159,1499254968,583159,252852645582316,0,4,192.168.10.17,192.168.10.3,35895,53,17,74,60,32,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,12,0,0,0
packet,1052,1499254968583160,1499254968,583160,252852645582316,0,4,192.168.10.17,192.168.10.3,35895,53,17,74,60,32,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,12,1,1,0
packet,1055,1499254968583330,1499254968,583330,252852645582316,1,4,192.168.10.3,192.168.10.17,53,35895,17,121,107,79,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,12,170,0,0
packet,1056,1499254968583331,1499254968,583331,252852645582316,1,4,192.168.10.3,192.168.10.17,53,35895,17,121,107,79,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,12,1,1,0
packet,1536,1499254970391853,1499254970,391853,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,8002306,8002306,0
packet,1537,1499254970391875,1499254970,391875,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,22,22,0
packet,1538,1499254970391877,1499254970,391877,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,1540,1499254970391880,1499254970,391880,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,3,3,0
packet,1542,1499254970391882,1499254970,391882,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,1545,1499254970391886,1499254970,391886,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,4,4,0
packet,1548,1499254970391889,1499254970,391889,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,3,3,0
packet,1551,1499254970391891,1499254970,391891,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,1554,1499254970391895,1499254970,391895,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,4,4,0
packet,1556,1499254970391897,1499254970,391897,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,2,2,0
packet,1557,1499254970391900,1499254970,391900,828521068908714,0,6,fe80:0000:0000:0000:0223:aeff:fe9b:adb3,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,107,93,45,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,3,3,0
packet,1987,1499254974980948,1499254974,980948,1961340334153708,0,4,192.168.10.17,144.217.148.73,123,123,17,90,76,48,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,17,0,0,0
packet,1989,1499254974997220,1499254974,997220,1961340334153708,1,4,144.217.148.73,192.168.10.17,123,123,17,90,76,48,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,17,16272,0,0
packet,2291,1499254976980874,1499254976,980874,1961340334153708,0,4,192.168.10.17,144.217.148.73,123,123,17,90,76,48,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,17,1983654,1999926,0
packet,2318,1499254976996913,1499254976,996913,1961340334153708,1,4,144.217.148.73,192.168.10.17,123,123,17,90,76,48,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,17,16039,1999693,0
packet,2069,1499254975606000,1499254975,606000,2039803916982685,0,4,192.168.10.16,255.255.255.255,46047,3289,17,60,43,15,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0
packet,2070,1499254975606006,1499254975,606006,2039803916982685,0,4,192.168.10.16,255.255.255.255,46047,3289,17,60,43,15,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,6,6,0
packet,2071,1499254975606007,1499254975,606007,2039803916982685,0,4,192.168.10.16,255.255.255.255,46047,3289,17,60,43,15,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,1,1,0
packet,2072,1499254975606009,1499254975,606009,2039803916982685,0,4,192.168.10.16,255.255.255.255,46047,3289,17,60,43,15,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,2,2,0
packet,2073,1499254975606010,1499254975,606010,2039803916982685,0,4,192.168.10.16,255.255.255.255,46047,3289,17,60,43,15,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,1,1,0
packet,2074,1499254975606012,1499254975,606012,2039803916982685,0,4,192.168.10.16,255.255.255.255,46047,3289,17,60,43,15,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,2,2,0
packet,2075,1499254975606013,1499254975,606013,2039803916982685,0,4,192.168.10.16,255.255.255.255,46047,3289,17,60,43,15,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,1,1,0
