record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,has_tcp,has_udp,has_icmp,tcp_seq,tcp_ack,tcp_flags,tcp_fin,tcp_syn,tcp_rst,tcp_psh,tcp_ack_flag,tcp_urg,tcp_ece,tcp_cwr,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,6785459,1499261922176971,1499261922,176971,760085402692707,0,4,192.168.10.15,192.168.10.3,59537,53,17,73,59,31,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,12,0,0,0
packet,6785460,1499261922176974,1499261922,176974,760085402692707,0,4,192.168.10.15,192.168.10.3,59537,53,17,73,59,31,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,12,3,3,0
packet,6785461,1499261922177177,1499261922,177177,760971750835431,0,4,192.168.10.3,192.168.10.1,60404,53,17,113,99,71,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,12,0,0,0
packet,6785477,1499261922200970,1499261922,200970,760971750835431,1,4,192.168.10.1,192.168.10.3,53,60404,17,241,227,199,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,12,23793,0,0
packet,6785478,1499261922201279,1499261922,201279,760085402692707,1,4,192.168.10.3,192.168.10.15,53,59537,17,254,240,212,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,12,24305,0,0
packet,6785479,1499261922201282,1499261922,201282,760085402692707,1,4,192.168.10.3,192.168.10.15,53,59537,17,254,240,212,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,12,3,3,0
packet,6785480,1499261922202475,1499261922,202475,588151797733713,0,4,192.168.10.15,192.168.10.3,61323,53,17,102,88,60,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,12,0,0,0
packet,6785481,1499261922202479,1499261922,202479,588151797733713,0,4,192.168.10.15,192.168.10.3,61323,53,17,102,88,60,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,12,4,4,0
packet,6785482,1499261922202647,1499261922,202647,588151797733713,1,4,192.168.10.3,192.168.10.15,53,61323,17,230,216,188,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,12,168,0,0
packet,6785483,1499261922202696,1499261922,202696,588151797733713,1,4,192.168.10.3,192.168.10.15,53,61323,17,230,216,188,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,12,49,49,0
packet,6785527,1499261922550021,1499261922,550021,673474450812107,0,4,192.168.10.15,192.168.10.3,56310,53,17,74,60,32,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,12,0,0,0
packet,6785528,1499261922550067,1499261922,550067,673474450812107,0,4,192.168.10.15,192.168.10.3,56310,53,17,74,60,32,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,12,46,46,0
packet,6785529,1499261922550271,1499261922,550271,673474450812107,1,4,192.168.10.3,192.168.10.15,53,56310,17,170,156,128,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,12,204,0,0
packet,6785530,1499261922550319,1499261922,550319,673474450812107,1,4,192.168.10.3,192.168.10.15,53,56310,17,170,156,128,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,12,48,48,0
packet,6785531,1499261922550900,1499261922,550900,677247809890333,0,4,192.168.10.15,192.168.10.3,52470,53,17,74,60,32,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,12,0,0,0
packet,6785532,1499261922550949,1499261922,550949,677247809890333,0,4,192.168.10.15,192.168.10.3,52470,53,17,74,60,32,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,12,49,49,0
packet,6785533,1499261922551110,1499261922,551110,677247809890333,1,4,192.168.10.3,192.168.10.15,53,52470,17,170,156,128,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,12,161,0,0
packet,6785534,1499261922551159,1499261922,551159,677247809890333,1,4,192.168.10.3,192.168.10.15,53,52470,17,170,156,128,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,12,49,49,0
packet,6785535,1499261922551537,1499261922,551537,679984788107545,0,4,192.168.10.15,192.168.10.3,52460,53,17,83,69,41,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,12,0,0,0
packet,6785536,1499261922551540,1499261922,551540,679984788107545,0,4,192.168.10.15,192.168.10.3,52460,53,17,83,69,41,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,12,3,3,0
packet,6785537,1499261922551675,1499261922,551675,679984788107545,1,4,192.168.10.3,192.168.10.15,53,52460,17,99,85,57,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,12,135,0,0
packet,6785538,1499261922551723,1499261922,551723,679984788107545,1,4,192.168.10.3,192.168.10.15,53,52460,17,99,85,57,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,12,48,48,0
packet,6785569,1499261922644887,1499261922,644887,799446876206431,0,4,192.168.10.15,198.54.12.112,53781,443,6,66,52,0,128,1,0,0,1985318922,0,2,0,1,0,0,0,0,0,0,8192,32,0,0,0,0,0,0,0
packet,6785613,1499261922704182,1499261922,704182,799446876206431,1,4,198.54.12.112,192.168.10.15,443,53781,6,62,48,0,244,1,0,0,2994075244,1985318923,18,0,1,0,0,1,0,0,0,4380,28,0,0,0,0,59295,0,0
packet,6785614,1499261922704259,1499261922,704259,799446876206431,0,4,192.168.10.15,198.54.12.112,53781,443,6,60,40,0,128,1,0,0,1985318923,2994075245,16,0,0,0,0,1,0,0,0,64240,20,0,0,0,0,77,59372,0
packet,6785624,1499261922724453,1499261922,724453,799446876206431,0,4,192.168.10.15,198.54.12.112,53781,443,6,284,270,230,128,1,0,0,1985318923,2994075245,24,0,0,0,1,1,0,0,0,64240,20,0,0,0,0,20194,20194,0
packet,6785625,1499261922724762,1499261922,724762,579555551933751,0,4,192.168.10.15,208.81.233.32,53783,443,6,66,52,0,128,1,0,0,3941481445,0,2,0,1,0,0,0,0,0,0,8192,32,0,0,0,0,0,0,0
packet,6785626,1499261922730464,1499261922,730464,604044450102859,0,4,192.168.10.15,192.168.10.3,51076,53,17,81,67,39,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,12,0,0,0
packet,6785627,1499261922730468,1499261922,730468,604044450102859,0,4,192.168.10.15,192.168.10.3,51076,53,17,81,67,39,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,12,4,4,0
packet,6785628,1499261922730589,1499261922,730589,604044450102859,1,4,192.168.10.3,192.168.10.15,53,51076,17,97,83,55,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,12,121,0,0
packet,6785629,1499261922730637,1499261922,730637,604044450102859,1,4,192.168.10.3,192.168.10.15,53,51076,17,97,83,55,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,12,48,48,0
packet,6785641,1499261922761479,1499261922,761479,604044450102859,0,4,192.168.10.15,192.168.10.3,51076,53,17,81,67,39,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,12,30842,31011,0
packet,6785642,1499261922761482,1499261922,761482,604044450102859,0,4,192.168.10.15,192.168.10.3,51076,53,17,81,67,39,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,12,3,3,0
packet,6785643,1499261922761595,1499261922,761595,604044450102859,1,4,192.168.10.3,192.168.10.15,53,51076,17,97,83,55,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,12,113,30958,0
packet,6785644,1499261922761642,1499261922,761642,604044450102859,1,4,192.168.10.3,192.168.10.15,53,51076,17,97,83,55,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,12,47,47,0
packet,6785645,1499261922765242,1499261922,765242,579555551933751,1,4,208.81.233.32,192.168.10.15,443,53783,6,60,44,0,246,1,0,0,933907445,3941481446,18,0,1,0,0,1,0,0,0,8190,24,0,0,0,0,40480,0,0
packet,6785646,1499261922765355,1499261922,765355,579555551933751,0,4,192.168.10.15,208.81.233.32,53783,443,6,60,40,0,128,1,0,0,3941481446,933907446,16,0,0,0,0,1,0,0,0,64240,20,0,0,0,0,113,40593,0
packet,6785650,1499261922781105,1499261922,781105,579555551933751,0,4,192.168.10.15,208.81.233.32,53783,443,6,246,232,192,128,1,0,0,3941481446,933907446,24,0,0,0,1,1,0,0,0,64240,20,0,0,0,0,15750,15750,0
packet,6785651,1499261922783655,1499261922,783655,799446876206431,1,4,198.54.12.112,192.168.10.15,443,53781,6,60,40,0,244,1,0,0,2994075245,1985319153,16,0,0,0,0,1,0,0,0,4610,20,0,0,0,5,59202,79473,0
packet,6785652,1499261922784292,1499261922,784292,799446876206431,1,4,198.54.12.112,192.168.10.15,443,53781,6,219,205,165,244,1,0,0,2994075245,1985319153,24,0,0,0,1,1,0,0,0,4610,20,0,0,0,5,637,637,0
