flow_id,flow_start_timestamp_us,flow_end_timestamp_us,source_ip,source_port,destination_ip,destination_port,protocol,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_per_s,flow_packets_per_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_per_s,bwd_packets_per_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,has_init_win_bytes_forward,init_win_bytes_forward,has_init_win_bytes_backward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
760085402692707,1499261922176971,1499261922201282,192.168.10.15,59537,192.168.10.3,53,17,24311,2,2,62,424,31,31,31.0,0.0,212,212,212.0,0.0,19990.950598,164.534573,8103.666667,14030.766242,24305,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,56,56,82.267286,82.267286,31,212,121.5,104.500399,10920.333333,0,0,0,0,0,0,0,0,1.0,121.5,31.0,212.0,0,0,0,0,0,0,24311.0,0.0,24311,24311,0.0,0.0,0,0,0
760971750835431,1499261922177177,1499261922200970,192.168.10.3,60404,192.168.10.1,53,17,23793,1,1,71,199,71,71,71.0,0.0,199,199,199.0,0.0,11347.875426,84.058336,23793.0,0.0,23793,23793,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,28,42.029168,42.029168,71,199,135.0,90.509668,8192.0,0,0,0,0,0,0,0,0,1.0,135.0,71.0,199.0,0,0,0,0,0,0,23793.0,0.0,23793,23793,0.0,0.0,0,0,0
588151797733713,1499261922202475,1499261922202696,192.168.10.15,61323,192.168.10.3,53,17,221,2,2,120,376,60,60,60.0,0.0,188,188,188.0,0.0,2244343.891403,18099.547511,73.666667,84.736848,168,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,56,56,9049.773756,9049.773756,60,188,124.0,73.900834,5461.333333,0,0,0,0,0,0,0,0,1.0,124.0,60.0,188.0,0,0,0,0,0,0,221.0,0.0,221,221,0.0,0.0,0,0,0
673474450812107,1499261922550021,1499261922550319,192.168.10.15,56310,192.168.10.3,53,17,298,2,2,64,256,32,32,32.0,0.0,128,128,128.0,0.0,1073825.503356,13422.818792,99.333333,90.649508,204,46,46,46.0,0.0,46,46,48,48.0,0.0,48,48,0,0,0,0,56,56,6711.409396,6711.409396,32,128,80.0,55.425626,3072.0,0,0,0,0,0,0,0,0,1.0,80.0,32.0,128.0,0,0,0,0,0,0,298.0,0.0,298,298,0.0,0.0,0,0,0
677247809890333,1499261922550900,1499261922551159,192.168.10.15,52470,192.168.10.3,53,17,259,2,2,64,256,32,32,32.0,0.0,128,128,128.0,0.0,1235521.235521,15444.015444,86.333333,64.66323,161,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,56,56,7722.007722,7722.007722,32,128,80.0,55.425626,3072.0,0,0,0,0,0,0,0,0,1.0,80.0,32.0,128.0,0,0,0,0,0,0,259.0,0.0,259,259,0.0,0.0,0,0,0
679984788107545,1499261922551537,1499261922551723,192.168.10.15,52460,192.168.10.3,53,17,186,2,2,82,114,41,41,41.0,0.0,57,57,57.0,0.0,1053763.44086,21505.376344,62.0,67.104396,135,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,56,56,10752.688172,10752.688172,41,57,49.0,9.237604,85.333333,0,0,0,0,0,0,0,0,1.0,49.0,41.0,57.0,0,0,0,0,0,0,186.0,0.0,186,186,0.0,0.0,0,0,0
756323901230084,1499261922634847,1499261922722874,192.168.10.15,60778,192.168.10.3,53,17,88027,4,4,152,548,38,38,38.0,0.0,137,137,137.0,0.0,7952.105604,90.881207,12575.285714,22188.781225,54033,3,87827,29275.666667,50701.74594,87821,3,33991,11330.333333,19580.558632,33940,3,0,0,0,0,112,112,45.440603,45.440603,38,137,87.5,52.917726,2800.285714,0,0,0,0,0,0,0,0,1.0,87.5,38.0,137.0,0,0,0,0,0,0,88027.0,0.0,88027,88027,0.0,0.0,0,0,0
757110773726892,1499261922635030,1499261922635272,192.168.10.15,52158,192.168.10.3,53,17,242,2,2,62,254,31,31,31.0,0.0,127,127,127.0,0.0,1305785.123967,16528.92562,80.666667,55.716545,145,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,0,0,0,0,56,56,8264.46281,8264.46281,31,127,79.0,55.425626,3072.0,0,0,0,0,0,0,0,0,1.0,79.0,31.0,127.0,0,0,0,0,0,0,242.0,0.0,242,242,0.0,0.0,0,0,0
799446876206431,1499261922644887,1499261928256708,192.168.10.15,53781,198.54.12.112,443,6,5611821,7,8,358,165,230,0,51.142857,84.680633,165,0,20.625,58.336309,93.19613,2.672929,400844.357143,1425709.748486,5353455,3,5611802,935300.333333,2193567.826055,5412609,47,5552526,793218.0,2037201.675135,5412544,3,3,1,0,0,292,328,1.247367,1.425562,0,230,34.866667,70.874,5023.12381,2,2,0,4,14,0,0,0,1.142857,34.866667,51.142857,20.625,1,8192,1,4380,3,20,129183.0,98823.829525,199062,59304,5353455.0,0.0,5353455,5353455,0
672682017937756,1499261922680908,1499261942049553,192.168.10.15,53782,198.54.12.112,443,6,19368645,7,9,358,165,230,0,51.142857,84.680633,165,0,18.333333,55.0,27.002405,0.826077,1291243.0,3719397.119681,13792069,1,5576576,929429.333333,2186928.865206,5393065,48,19309559,2413694.875,4967129.050261,13792112,1,3,1,0,0,292,368,0.361409,0.464669,0,230,32.6875,69.023396,4764.229167,2,2,0,4,14,0,0,0,1.285714,32.6875,51.142857,18.333333,1,8192,1,4380,3,20,80930.666667,93696.611968,183579,0,9562926.5,5980910.680708,13792069,5333784,0
763382431678260,1499261922702026,1499261922702229,192.168.10.15,53328,192.168.10.3,53,17,203,2,2,62,254,31,31,31.0,0.0,127,127,127.0,0.0,1556650.246305,19704.433498,67.666667,74.768532,150,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,56,56,9852.216749,9852.216749,31,127,79.0,55.425626,3072.0,0,0,0,0,0,0,0,0,1.0,79.0,31.0,127.0,0,0,0,0,0,0,203.0,0.0,203,203,0.0,0.0,0,0,0
766270496817244,1499261922702699,1499262144750470,192.168.10.15,53908,192.168.10.3,53,17,222047771,4,4,154,218,41,36,38.5,2.886751,57,52,54.5,2.886751,1.675315,0.036028,31721110.142857,83926005.153283,222047400,3,222047585,74015861.666667,128199226.910478,222047578,3,222047639,74015879.666667,128199179.279081,222047541,49,0,0,0,0,112,112,0.018014,0.018014,36,57,46.5,8.96023,80.285714,0,0,0,0,0,0,0,0,1.0,46.5,38.5,54.5,0,0,0,0,0,0,185.5,6.363961,190,181,222047400.0,0.0,222047400,222047400,0
