record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,0,1753970810009700,1753970810,9700,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,0,0,0
packet,0,1753970810011951,1753970810,11951,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2251,2251,0
packet,0,1753970810014114,1753970810,14114,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2163,2163,0
packet,0,1753970810015096,1753970810,15096,627789217197843,0,4,185.239.63.85,18.157.47.184,54888,7836,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810016138,1753970810,16138,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2024,2024,0
packet,0,1753970810020772,1753970810,20772,652166639891442,0,4,185.239.63.85,204.76.203.41,54888,8491,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810021010,1753970810,21010,653190769170405,0,4,185.46.212.237,10.30.9.64,443,52098,6,172,172,132,64,104998665,1758719296,24,32654,20,-1,-1,-1,0,0,0,0
packet,0,1753970810024872,1753970810,24872,627789217197843,0,4,185.239.63.85,18.157.47.184,54888,7836,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,9776,9776,0
packet,0,1753970810026391,1753970810,26391,676299854571878,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0001,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,0,0,0
packet,0,1753970810026479,1753970810,26479,676677131129619,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0004,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,0,0,0
packet,0,1753970810026515,1753970810,26515,676832286423488,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0003,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,0,0,0
packet,0,1753970810028022,1753970810,28022,683306780213965,0,4,185.239.63.85,179.43.139.10,54888,46431,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810029175,1753970810,29175,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,13037,13037,0
packet,0,1753970810030255,1753970810,30255,683306780213965,0,4,185.239.63.85,179.43.139.10,54888,46431,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,2233,2233,0
packet,0,1753970810031348,1753970810,31348,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2173,2173,0
packet,0,1753970810034609,1753970810,34609,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,3261,3261,0
packet,0,1753970810035735,1753970810,35735,591147588971802,1,4,185.46.212.40,185.239.62.161,443,49332,6,40,40,0,64,4158939298,1440252049,16,2560,20,-1,-1,-1,2,3833,3833,0
packet,0,1753970810035735,1753970810,35735,591147588971802,0,4,185.239.62.161,185.46.212.40,49332,443,6,40,40,0,64,1440252566,4158939298,16,2560,20,-1,-1,-1,2,0,6858,1
packet,0,1753970810045450,1753970810,45450,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,10841,10841,0
packet,0,1753970810046646,1753970810,46646,763296861090419,0,4,185.239.63.85,45.192.215.92,54888,10231,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810048399,1753970810,48399,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2949,2949,0
packet,0,1753970810049535,1753970810,49535,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1136,1136,0
packet,0,1753970810050433,1753970810,50433,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,898,898,0
packet,0,1753970810052581,1753970810,52581,627789217197843,0,4,185.239.63.85,18.157.47.184,54888,7836,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,27709,27709,0
packet,0,1753970810053635,1753970810,53635,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,3202,3202,0
packet,0,1753970810058497,1753970810,58497,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,4862,4862,0
packet,0,1753970810061867,1753970810,61867,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,3370,3370,0
packet,0,1753970810064874,1753970810,64874,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,3007,3007,0
