Context,K,Average,Median,Std,Attack,Benign,No Context (%)
Same Source,5,0.932118468085805,1.0,0.19177063191441085,0.12230646448523544,0.9646030353670849,8.366520380419454
Same Destination,5,0.9420142815196136,1.0,0.18581464538172404,0.15992546213476447,0.9703154299129753,9.708480465709226
Same Endpoint,5,0.9335564044519903,1.0,0.19030305973613745,0.08111961234378987,0.966293303558311,0.3260415844041562
Same Source OR Destination,5,0.9361858768828585,1.0,0.18720562880565111,0.11432990745001789,0.967757722542399,0.5984950191225082
Same Source,10,0.9316715430123885,1.0,0.18379465776522852,0.11462255665767238,0.9644464125516558,8.366520380419454
Same Destination,10,0.9419040003189141,1.0,0.1808852310601039,0.15418427180055086,0.9704089122632013,9.708480465709226
Same Endpoint,10,0.9332060550120821,1.0,0.1820547659553543,0.07549495391117426,0.9661455081645779,0.3260415844041562
Same Source OR Destination,10,0.9355202991513618,1.0,0.17967080463337526,0.10622423587218802,0.9673779582664778,0.5984950191225082
Same Source,20,0.9314433935260314,1.0,0.1799501281171689,0.10777721439706668,0.9644837032451584,8.366520380419454
Same Destination,20,0.9419524401772533,1.0,0.1786669716032479,0.15123329446085557,0.9705658908822429,9.708480465709226
Same Endpoint,20,0.9329853256391368,1.0,0.17813869713441643,0.06994982887324909,0.9661292563614656,0.3260415844041562
Same Source OR Destination,20,0.9351510131682107,1.0,0.17592009544001203,0.10000852908592348,0.967233264306895,0.5984950191225082
Same Source,30,0.9315051647006571,1.0,0.17871715645696595,0.10453430795674737,0.9646780373132067,8.366520380419454
Same Destination,30,0.941949261800352,1.0,0.17821844019264385,0.1493111641604046,0.9706321528832144,9.708480465709226
Same Endpoint,30,0.93286609230749,0.9666666666666667,0.17691729431440312,0.06695113321638825,0.9661206056190428,0.3260415844041562
Same Source OR Destination,30,0.9350307342822338,1.0,0.17477988464638392,0.09670410563348499,0.967235305297574,0.5984950191225082
Same Source,64,0.9319698769292235,0.984375,0.17781026824449475,0.09936331686201873,0.965368818534291,8.366520380419454
Same Destination,64,0.9420229822337326,1.0,0.17782986534775092,0.14730752614271486,0.9707810458907739,9.708480465709226
Same Endpoint,64,0.9328905692845089,0.96875,0.17585887025061925,0.06195734189552903,0.9663378036804599,0.3260415844041562
Same Source OR Destination,64,0.9351515750913548,0.984375,0.1737777443209513,0.09186030121593232,0.9675468644547761,0.5984950191225082
Same Source,128,0.9325201702304033,0.984375,0.17774854772829962,0.09554919072478392,0.9660941849095429,8.366520380419454
Same Destination,128,0.9420107069036828,1.0,0.17768603954869236,0.1464567762047151,0.9707991121200402,9.708480465709226
Same Endpoint,128,0.9332800416849577,0.9758064516129032,0.1756151213381304,0.05897448005066943,0.9668567868750974,0.3260415844041562
Same Source OR Destination,128,0.935443533496603,0.984375,0.17368761378128555,0.08780650770634588,0.9680057662343295,0.5984950191225082
Same Source,256,0.9332287493018203,0.9821428571428571,0.17794964286177598,0.0926999332286219,0.9669454820202599,8.366520380419454
Same Destination,256,0.9418763648300145,1.0,0.17761606388700102,0.1460975836669852,0.9706729066239475,9.708480465709226
Same Endpoint,256,0.9337766815610296,0.97265625,0.17575878655014454,0.05648506199461814,0.9674681030276441,0.3260415844041562
Same Source OR Destination,256,0.9359122555954733,0.9811320754716981,0.17384091281852604,0.08485010785273021,0.9686060654290302,0.5984950191225082
Same Source,512,0.9337357751960428,0.9818181818181818,0.17811456158514274,0.09121077133130043,0.9675325824210742,8.366520380419454
Same Destination,512,0.9418065128984842,1.0,0.17759131353394234,0.14593137225382946,0.9706065416160513,9.708480465709226
Same Endpoint,512,0.9343811366857013,0.972972972972973,0.17597893658513594,0.05485630481089396,0.9681583222191651,0.3260415844041562
Same Source OR Destination,512,0.9362944721394977,0.9805825242718447,0.17398271479089777,0.08321821924020857,0.9690656544318667,0.5984950191225082
