feature,train_non_null_rate,train_unique_count,train_std,univariate_auc,univariate_direction,univariate_importance,univariate_signed_pr_auc,mutual_info,extratrees_importance,combined_score,combined_rank
syn_flag_count,1.0,42,2.692692173145107,0.8241441283702127,1,0.6482882567404253,0.18782004357706178,0.0380049889527887,0.11537870655313125,0.9288176444237609,1
init_win_bytes_forward,1.0,4356,22412.81943147394,0.7434693777568312,1,0.4869387555136624,0.15674826077373952,0.048324556174907274,0.09054926912380225,0.8453050308095728,2
bwd_header_length,1.0,1858,11082.062414612701,0.7744304927776521,1,0.5488609855553042,0.08672906507681567,0.04276185925563025,0.019454249423085414,0.6333773408609715,3
fwd_header_length,1.0,2082,12811.698489480066,0.7603946037102666,1,0.5207892074205331,0.08451067133740184,0.04454788085108352,0.017881269206325198,0.6267187762340843,4
bwd_packet_length_max,1.0,1447,504.47635140767727,0.755370451169647,1,0.5107409023392939,0.09123998690454382,0.02482531128798482,0.0242696459400616,0.5039660230951216,5
init_win_bytes_backward,1.0,3591,11864.240994019225,0.6991569620814984,1,0.3983139241629967,0.1459615369264475,0.033226102717736294,0.024215933195755907,0.5039507678263558,6
bwd_packet_length_std,1.0,26310,227.84920433659377,0.7562441007995491,1,0.5124882015990981,0.09795638645109048,0.02009411576886655,0.03187006001999094,0.4941874551937082,7
avg_bwd_segment_size,1.0,17443,296.17574148749793,0.7477221761039454,1,0.49544435220789085,0.0853295800288191,0.01919799559873736,0.02128868326570302,0.44867269250378355,8
total_backward_packets,1.0,894,272.1979245158025,0.7561406177182699,1,0.5122812354365398,0.07769429846445003,0.022222955878358652,0.009063890897344159,0.44287749831856904,9
total_length_of_bwd_packets,1.0,10324,297865.6691100696,0.7542569226625963,1,0.5085138453251925,0.09287296390253456,0.01946771429605132,0.015570120199548662,0.44073202091423763,10
packet_length_std,1.0,46780,263.09491789244237,0.720348494314538,1,0.4406969886290759,0.06529561849098181,0.02442027295994209,0.01524485700636936,0.4390844013272104,11
max_packet_length,1.0,1464,589.956842761035,0.7219290277335297,1,0.4438580554670595,0.0694897765598869,0.02406149398158064,0.014517901151362499,0.4361347520605636,12
bwd_packet_length_mean,1.0,17443,296.17574148749793,0.7477221761039454,1,0.49544435220789085,0.0853295800288191,0.018734564762312722,0.01734265176121309,0.43407580689592334,13
bwd_iat_total,1.0,42649,6584427.365132187,0.7132369980625306,1,0.4264739961250612,0.06182192478576943,0.01937636579807056,0.022818179390676884,0.4188590229490267,14
bwd_iat_max,1.0,42090,3157721.1805116073,0.7109788215553691,1,0.42195764311073813,0.0581686867875924,0.01905547963645393,0.022326591680156365,0.4129032041337726,15
active_max,1.0,67458,5427139.941936554,0.7044536720700905,1,0.40890734414018093,0.06025192543992089,0.022678332818391045,0.013890597705991064,0.40681090738145625,16
bwd_iat_mean,1.0,43213,1827516.1593497093,0.707823045990349,1,0.4156460919806979,0.056850948931376814,0.01853442300413266,0.022120964057479934,0.4054697525914877,17
packet_length_variance,1.0,46780,175492.209486989,0.720348494314538,1,0.4406969886290759,0.06529561849098181,0.020417835690529573,0.01172968517510382,0.40132091125215946,18
active_mean,1.0,68207,5172510.113096047,0.7072010125166299,1,0.41440202503325985,0.061110882644140406,0.021657179643117308,0.012874605453500556,0.3996571787000474,19
total_fwd_packets,1.0,1014,362.9624780221808,0.7401306888942133,1,0.4802613777884266,0.07275079932681403,0.018734261600516167,0.007977711499712653,0.399211359072539,20
fwd_iat_total,1.0,58233,7404242.976977739,0.683703912702177,1,0.367407825404354,0.05538346457107745,0.023156584647944456,0.016435092048272416,0.3961229357580829,21
fwd_iat_max,1.0,57068,3668237.101513063,0.6761029694695336,1,0.35220593893906726,0.05029838306142788,0.0232350702863513,0.01712810688019239,0.3908500363304695,22
active_min,1.0,60287,5096310.935524325,0.7104935252196343,1,0.42098705043926854,0.06472684121137626,0.02126363143317711,0.00876384824876708,0.3884522837437047,23
flow_iat_std,1.0,59824,1451317.5040648466,0.6885975380864455,1,0.37719507617289105,0.051455897924607155,0.01798460909509525,0.024091249410973514,0.3875989364052594,24
fwd_iat_mean,1.0,59151,2283289.2087887004,0.6674837726146203,1,0.33496754522924066,0.04819152796112016,0.02329054713173706,0.013279301448529086,0.37124982047655913,25
fwd_iat_std,1.0,44997,1427787.1335543173,0.6949419041360886,1,0.38988380827217717,0.05503267751447971,0.016159710509529024,0.018183285879010833,0.36446704207644515,26
flow_duration,1.0,71361,7738524.925107166,0.671320231375415,1,0.34264046275082993,0.05325268652991929,0.021528894871057247,0.01238862145890354,0.3604702996072264,27
down_up_ratio,1.0,3785,0.849622979594141,0.6909304290228439,1,0.3818608580456877,0.061363003018920906,0.01947557817950485,0.005997684464158164,0.34800940017100596,28
has_init_win_bytes_backward,1.0,2,0.4940055412818321,0.659986681075128,1,0.31997336215025607,0.05492173416694176,0.02019481552690472,0.013466557543984868,0.34272743174979187,29
bwd_iat_std,1.0,34917,1226154.1179134327,0.6939571876117825,1,0.387914375223565,0.057712154495996856,0.016253941994482046,0.010405758514781895,0.3416348369894537,30
bwd_packets_per_s,1.0,63291,221.17496803923748,0.6918714631596883,1,0.38374292631937656,0.0531902193437673,0.01690076273613972,0.009054333407670557,0.3400473100613674,31
flow_bytes_per_s,1.0,72640,26329315.366723787,0.694290826491759,1,0.388581652983518,0.057349423771664715,0.015714793690596585,0.007177167184097825,0.32893147544863083,32
ack_flag_count,1.0,883,480.55157540441184,0.6604175328732205,1,0.32083506574644094,0.06573147290853011,0.016683432281608068,0.014934770016751357,0.3231913831494235,33
flow_iat_max,1.0,68220,3490941.9066119795,0.6564243924392439,1,0.3128487848784878,0.047601158643177405,0.01975146865296229,0.008950566434402027,0.32295917066158114,34
average_packet_size,1.0,29555,274.7478683491067,0.6780869890164947,1,0.35617397803298934,0.056893557364044306,0.014442053729945004,0.011504127417262415,0.31598990950893396,35
packet_length_mean,1.0,29555,274.7478683491067,0.6780869890164947,1,0.35617397803298934,0.056893557364044306,0.014266462487237064,0.011817234568976749,0.3156832935677875,36
min_seg_size_forward,1.0,9,12.052922151009758,0.6063367493247444,1,0.2126734986494887,0.0538813063631369,0.011832180590395813,0.04061902310537775,0.30831722459106903,37
flow_packets_per_s,1.0,72726,73458.1937172109,0.6615556455353017,1,0.3231112910706033,0.047927967723443814,0.01679802157997745,0.007814260554431842,0.30458076074981494,38
bwd_iat_min,1.0,19341,1567980.6958542867,0.680864677880241,1,0.36172935576048193,0.053570605899059154,0.01466152054925085,0.005691068141396539,0.30356604024373485,39
fwd_packet_length_max,1.0,1458,538.0723471990816,0.6222993923922272,1,0.2445987847844544,0.05056699626707351,0.02034535327642617,0.01188712393968606,0.30044707919169417,40
fwd_packet_length_std,1.0,32192,247.43065270934778,0.6707484128061784,1,0.3414968256123567,0.053949797987344505,0.013986037212962321,0.007491577617757099,0.2937053741389733,41
fwd_packets_per_s,1.0,71780,73458.99751184422,0.6553500863040754,1,0.31070017260815086,0.04689821023689474,0.015660746557014438,0.007480493001101668,0.28939031194949194,42
flow_iat_mean,1.0,73044,1624913.2291437294,0.6260268059818936,1,0.2520536119637873,0.04268280238997173,0.01865473892249292,0.009006430531270343,0.28429620532546684,43
fwd_packet_length_min,1.0,1240,207.33864344650038,0.3703421677311901,-1,0.2593156645376198,0.05072272664878558,0.012099725726730792,0.015922900859867528,0.2627969071407296,44
total_length_of_fwd_packets,1.0,11559,460651.70916382084,0.6212647073315772,1,0.24252941466315447,0.053241858259343335,0.013918411255573027,0.010556861738888486,0.25120809663978527,45
bwd_psh_flags,1.0,318,34.48175418330561,0.6644145512545404,1,0.3288291025090808,0.061718960411318524,0.009277189669578467,0.0024371962430502917,0.2401089501061884,46
cwe_flag_count,1.0,14,0.5652179413254051,0.5893703027845617,1,0.1787406055691234,0.12451140852722808,0.013669180475214704,0.018572580457659183,0.23984807486836326,47
fwd_iat_min,1.0,29851,2010406.2701138186,0.6318239799324685,1,0.26364795986493705,0.04430052906646035,0.010339237345349916,0.007590385262636873,0.22880801431616274,48
fwd_packet_length_mean,1.0,20188,316.425323722987,0.5641383669290456,1,0.12827673385809124,0.04052710287382072,0.015377197818792432,0.013791690119815837,0.2118702366615065,49
avg_fwd_segment_size,1.0,20188,316.425323722987,0.5641383669290456,1,0.12827673385809124,0.04052710287382072,0.014280988854660448,0.013961319777851316,0.20479886804124184,50
ece_flag_count,1.0,10,0.5730690477074816,0.587464994096568,1,0.1749299881931361,0.10294555755098082,0.01132557039725346,0.010914473931937743,0.1995984367155795,51
psh_flag_count,1.0,474,56.61459844517755,0.639556839198337,1,0.2791136783966739,0.05504171258629679,0.006593199998510935,0.0032827192051775814,0.19847565484869636,52
min_packet_length,1.0,995,149.48821270210078,0.40944356063270354,-1,0.18111287873459292,0.044518874184446305,0.008430837459692198,0.011400702630948476,0.1842149529801099,53
flow_iat_min,1.0,26727,1271117.5656353664,0.5227441348397271,1,0.045488269679454296,0.03303191455207693,0.009920457823856532,0.007321107242931535,0.11296923688268397,54
fwd_psh_flags,1.0,347,39.7887271355,0.5815271147883697,1,0.16305422957673943,0.044203202603265324,0.002439973824016173,0.003600456068563559,0.1110706500404446,55
has_init_win_bytes_forward,1.0,2,0.4522895393286001,0.5244755593403051,1,0.048951118680610195,0.03761366381928099,0.006497818122410903,0.012679364523842922,0.10662124943991093,56
act_data_pkt_fwd,1.0,525,265.29790115104856,0.5725948432703697,1,0.14518968654073938,0.04355709573333012,0.0029762557342152274,0.0038643044974963014,0.10634659188858576,57
rst_flag_count,1.0,13,0.2617989023264881,0.5424791865939622,1,0.08495837318792443,0.04509006773270609,0.0026120204092972,0.013840453374632135,0.10168622004297147,58
fin_flag_count,1.0,16,0.4622190466395089,0.5558955575875181,1,0.11179111517503615,0.04374789499775273,0.002492644043259329,0.003965965261195944,0.08613173880728114,59
bwd_packet_length_min,1.0,1135,172.50820765603993,0.5101667583181217,1,0.020333516636243498,0.03711572054365003,0.003997279453157976,0.009118855695048982,0.0643721386685268,60
idle_min,1.0,16540,3251287.00519733,0.48742482950760607,-1,0.025150340984787856,0.03676965546621946,0.000754474939237193,0.003376253675295736,0.027890007418071405,61
idle_max,1.0,16544,3482362.2569790916,0.48702252820351,-1,0.025954943592980007,0.03678504638452724,0.0005809179782907403,0.0035511781290628475,0.02761191484722643,62
