feature,train_non_null_rate,train_unique_count,train_std,univariate_auc,univariate_direction,univariate_importance,univariate_signed_pr_auc,mutual_info,extratrees_importance,combined_score,combined_rank
syn_flag_count,1.0,42,2.692692173145107,0.8241441283702127,1,0.6482882567404253,0.1878200435770617,0.0380049889527887,0.1153787065531312,0.9288176444237608,1
init_win_bytes_forward,1.0,4356,22412.81943147394,0.7434693777568312,1,0.4869387555136624,0.1567482607737395,0.0483245561749072,0.0905492691238022,0.8453050308095728,2
bwd_header_length,1.0,1858,11082.0624146127,0.7744304927776521,1,0.5488609855553042,0.0867290650768156,0.0427618592556302,0.0194542494230854,0.6333773408609715,3
fwd_header_length,1.0,2082,12811.698489480066,0.7603946037102666,1,0.5207892074205331,0.0845106713374018,0.0445478808510835,0.0178812692063251,0.6267187762340843,4
bwd_packet_length_max,1.0,1447,504.47635140767727,0.755370451169647,1,0.5107409023392939,0.0912399869045438,0.0248253112879848,0.0242696459400616,0.5039660230951216,5
init_win_bytes_backward,1.0,3591,11864.240994019225,0.6991569620814984,1,0.3983139241629967,0.1459615369264475,0.0332261027177362,0.0242159331957559,0.5039507678263558,6
bwd_packet_length_std,1.0,26310,227.84920433659377,0.7562441007995491,1,0.5124882015990981,0.0979563864510904,0.0200941157688665,0.0318700600199909,0.4941874551937082,7
avg_bwd_segment_size,1.0,17443,296.175741487498,0.7477221761039454,1,0.4954443522078908,0.0853295800288191,0.0191979955987373,0.021288683265703,0.4486726925037835,8
total_backward_packets,1.0,894,272.1979245158025,0.7561406177182699,1,0.5122812354365398,0.07769429846445,0.0222229558783586,0.0090638908973441,0.442877498318569,9
total_length_of_bwd_packets,1.0,10324,297865.6691100696,0.7542569226625963,1,0.5085138453251925,0.0928729639025345,0.0194677142960513,0.0155701201995486,0.4407320209142376,10
packet_length_std,1.0,46780,263.0949178924424,0.720348494314538,1,0.4406969886290759,0.0652956184909818,0.024420272959942,0.0152448570063693,0.4390844013272104,11
max_packet_length,1.0,1464,589.956842761035,0.7219290277335297,1,0.4438580554670595,0.0694897765598869,0.0240614939815806,0.0145179011513624,0.4361347520605636,12
bwd_packet_length_mean,1.0,17443,296.175741487498,0.7477221761039454,1,0.4954443522078908,0.0853295800288191,0.0187345647623127,0.017342651761213,0.4340758068959233,13
bwd_iat_total,1.0,42649,6584427.365132187,0.7132369980625306,1,0.4264739961250612,0.0618219247857694,0.0193763657980705,0.0228181793906768,0.4188590229490267,14
bwd_iat_max,1.0,42090,3157721.180511608,0.7109788215553691,1,0.4219576431107381,0.0581686867875924,0.0190554796364539,0.0223265916801563,0.4129032041337726,15
active_max,1.0,67458,5427139.941936554,0.7044536720700905,1,0.4089073441401809,0.0602519254399208,0.022678332818391,0.013890597705991,0.4068109073814562,16
bwd_iat_mean,1.0,43213,1827516.1593497093,0.707823045990349,1,0.4156460919806979,0.0568509489313768,0.0185344230041326,0.0221209640574799,0.4054697525914877,17
packet_length_variance,1.0,46780,175492.209486989,0.720348494314538,1,0.4406969886290759,0.0652956184909818,0.0204178356905295,0.0117296851751038,0.4013209112521594,18
active_mean,1.0,68207,5172510.113096047,0.7072010125166299,1,0.4144020250332598,0.0611108826441404,0.0216571796431173,0.0128746054535005,0.3996571787000474,19
total_fwd_packets,1.0,1014,362.9624780221808,0.7401306888942133,1,0.4802613777884266,0.072750799326814,0.0187342616005161,0.0079777114997126,0.399211359072539,20
fwd_iat_total,1.0,58233,7404242.976977739,0.683703912702177,1,0.367407825404354,0.0553834645710774,0.0231565846479444,0.0164350920482724,0.3961229357580829,21
fwd_iat_max,1.0,57068,3668237.101513063,0.6761029694695336,1,0.3522059389390672,0.0502983830614278,0.0232350702863513,0.0171281068801923,0.3908500363304695,22
active_min,1.0,60287,5096310.935524325,0.7104935252196343,1,0.4209870504392685,0.0647268412113762,0.0212636314331771,0.008763848248767,0.3884522837437047,23
flow_iat_std,1.0,59824,1451317.5040648466,0.6885975380864455,1,0.377195076172891,0.0514558979246071,0.0179846090950952,0.0240912494109735,0.3875989364052594,24
fwd_iat_mean,1.0,59151,2283289.2087887004,0.6674837726146203,1,0.3349675452292406,0.0481915279611201,0.023290547131737,0.013279301448529,0.3712498204765591,25
fwd_iat_std,1.0,44997,1427787.1335543173,0.6949419041360886,1,0.3898838082721771,0.0550326775144797,0.016159710509529,0.0181832858790108,0.3644670420764451,26
flow_duration,1.0,71361,7738524.925107166,0.671320231375415,1,0.3426404627508299,0.0532526865299192,0.0215288948710572,0.0123886214589035,0.3604702996072264,27
down_up_ratio,1.0,3785,0.849622979594141,0.6909304290228439,1,0.3818608580456877,0.0613630030189209,0.0194755781795048,0.0059976844641581,0.3480094001710059,28
has_init_win_bytes_backward,1.0,2,0.4940055412818321,0.659986681075128,1,0.319973362150256,0.0549217341669417,0.0201948155269047,0.0134665575439848,0.3427274317497918,29
bwd_iat_std,1.0,34917,1226154.117913433,0.6939571876117825,1,0.387914375223565,0.0577121544959968,0.016253941994482,0.0104057585147818,0.3416348369894537,30
bwd_packets_per_s,1.0,63291,221.17496803923748,0.6918714631596883,1,0.3837429263193765,0.0531902193437673,0.0169007627361397,0.0090543334076705,0.3400473100613674,31
flow_bytes_per_s,1.0,72640,26329315.366723787,0.694290826491759,1,0.388581652983518,0.0573494237716647,0.0157147936905965,0.0071771671840978,0.3289314754486308,32
ack_flag_count,1.0,883,480.55157540441184,0.6604175328732205,1,0.3208350657464409,0.0657314729085301,0.016683432281608,0.0149347700167513,0.3231913831494235,33
flow_iat_max,1.0,68220,3490941.9066119795,0.6564243924392439,1,0.3128487848784878,0.0476011586431774,0.0197514686529622,0.008950566434402,0.3229591706615811,34
average_packet_size,1.0,29555,274.7478683491067,0.6780869890164947,1,0.3561739780329893,0.0568935573640443,0.014442053729945,0.0115041274172624,0.3159899095089339,35
packet_length_mean,1.0,29555,274.7478683491067,0.6780869890164947,1,0.3561739780329893,0.0568935573640443,0.014266462487237,0.0118172345689767,0.3156832935677875,36
min_seg_size_forward,1.0,9,12.052922151009758,0.6063367493247444,1,0.2126734986494887,0.0538813063631369,0.0118321805903958,0.0406190231053777,0.308317224591069,37
flow_packets_per_s,1.0,72726,73458.1937172109,0.6615556455353017,1,0.3231112910706033,0.0479279677234438,0.0167980215799774,0.0078142605544318,0.3045807607498149,38
bwd_iat_min,1.0,19341,1567980.695854287,0.680864677880241,1,0.3617293557604819,0.0535706058990591,0.0146615205492508,0.0056910681413965,0.3035660402437348,39
fwd_packet_length_max,1.0,1458,538.0723471990816,0.6222993923922272,1,0.2445987847844544,0.0505669962670735,0.0203453532764261,0.011887123939686,0.3004470791916941,40
fwd_packet_length_std,1.0,32192,247.43065270934775,0.6707484128061784,1,0.3414968256123567,0.0539497979873445,0.0139860372129623,0.007491577617757,0.2937053741389733,41
fwd_packets_per_s,1.0,71780,73458.99751184422,0.6553500863040754,1,0.3107001726081508,0.0468982102368947,0.0156607465570144,0.0074804930011016,0.2893903119494919,42
flow_iat_mean,1.0,73044,1624913.2291437294,0.6260268059818936,1,0.2520536119637873,0.0426828023899717,0.0186547389224929,0.0090064305312703,0.2842962053254668,43
fwd_packet_length_min,1.0,1240,207.3386434465004,0.3703421677311901,-1,0.2593156645376198,0.0507227266487855,0.0120997257267307,0.0159229008598675,0.2627969071407296,44
total_length_of_fwd_packets,1.0,11559,460651.7091638208,0.6212647073315772,1,0.2425294146631544,0.0532418582593433,0.013918411255573,0.0105568617388884,0.2512080966397852,45
bwd_psh_flags,1.0,318,34.48175418330561,0.6644145512545404,1,0.3288291025090808,0.0617189604113185,0.0092771896695784,0.0024371962430502,0.2401089501061884,46
cwe_flag_count,1.0,14,0.5652179413254051,0.5893703027845617,1,0.1787406055691234,0.124511408527228,0.0136691804752147,0.0185725804576591,0.2398480748683632,47
fwd_iat_min,1.0,29851,2010406.2701138183,0.6318239799324685,1,0.263647959864937,0.0443005290664603,0.0103392373453499,0.0075903852626368,0.2288080143161627,48
fwd_packet_length_mean,1.0,20188,316.425323722987,0.5641383669290456,1,0.1282767338580912,0.0405271028738207,0.0153771978187924,0.0137916901198158,0.2118702366615065,49
avg_fwd_segment_size,1.0,20188,316.425323722987,0.5641383669290456,1,0.1282767338580912,0.0405271028738207,0.0142809888546604,0.0139613197778513,0.2047988680412418,50
ece_flag_count,1.0,10,0.5730690477074816,0.587464994096568,1,0.1749299881931361,0.1029455575509808,0.0113255703972534,0.0109144739319377,0.1995984367155795,51
psh_flag_count,1.0,474,56.61459844517755,0.639556839198337,1,0.2791136783966739,0.0550417125862967,0.0065931999985109,0.0032827192051775,0.1984756548486963,52
min_packet_length,1.0,995,149.48821270210078,0.4094435606327035,-1,0.1811128787345929,0.0445188741844463,0.0084308374596921,0.0114007026309484,0.1842149529801099,53
flow_iat_min,1.0,26727,1271117.5656353664,0.5227441348397271,1,0.0454882696794542,0.0330319145520769,0.0099204578238565,0.0073211072429315,0.1129692368826839,54
fwd_psh_flags,1.0,347,39.7887271355,0.5815271147883697,1,0.1630542295767394,0.0442032026032653,0.0024399738240161,0.0036004560685635,0.1110706500404446,55
has_init_win_bytes_forward,1.0,2,0.4522895393286001,0.5244755593403051,1,0.0489511186806101,0.0376136638192809,0.0064978181224109,0.0126793645238429,0.1066212494399109,56
act_data_pkt_fwd,1.0,525,265.29790115104856,0.5725948432703697,1,0.1451896865407393,0.0435570957333301,0.0029762557342152,0.0038643044974963,0.1063465918885857,57
rst_flag_count,1.0,13,0.2617989023264881,0.5424791865939622,1,0.0849583731879244,0.045090067732706,0.0026120204092972,0.0138404533746321,0.1016862200429714,58
fin_flag_count,1.0,16,0.4622190466395089,0.5558955575875181,1,0.1117911151750361,0.0437478949977527,0.0024926440432593,0.0039659652611959,0.0861317388072811,59
bwd_packet_length_min,1.0,1135,172.50820765603993,0.5101667583181217,1,0.0203335166362434,0.03711572054365,0.0039972794531579,0.0091188556950489,0.0643721386685268,60
idle_min,1.0,16540,3251287.00519733,0.487424829507606,-1,0.0251503409847878,0.0367696554662194,0.0007544749392371,0.0033762536752957,0.0278900074180714,61
idle_max,1.0,16544,3482362.256979092,0.48702252820351,-1,0.02595494359298,0.0367850463845272,0.0005809179782907,0.0035511781290628,0.0276119148472264,62
