feature,importance,abs_importance
Flow IAT Max,0.0645324507408154,0.0645324507408154
ACK Flag Count,0.06139351074171083,0.06139351074171083
Destination Port,0.06129047565721463,0.06129047565721463
Avg Bwd Segment Size,0.048091182635808145,0.048091182635808145
Idle Max,0.04450640611963027,0.04450640611963027
Bwd Packet Length Max,0.04253124274791316,0.04253124274791316
Fwd IAT Max,0.0373884254133566,0.0373884254133566
Bwd Packet Length Std,0.03425138225852484,0.03425138225852484
Min Packet Length,0.03417073194620865,0.03417073194620865
min_seg_size_forward,0.03377691855568866,0.03377691855568866
Average Packet Size,0.031218418403355343,0.031218418403355343
Max Packet Length,0.029527005525486986,0.029527005525486986
Bwd Packet Length Mean,0.02486516345123526,0.02486516345123526
FIN Flag Count,0.02379574508041832,0.02379574508041832
Packet Length Std,0.023336672098218592,0.023336672098218592
Idle Min,0.022050974054390063,0.022050974054390063
Packet Length Variance,0.02109387075740289,0.02109387075740289
Fwd Packets/s,0.020071531858067104,0.020071531858067104
Flow Duration,0.01935457239349341,0.01935457239349341
URG Flag Count,0.018211892414977105,0.018211892414977105
Flow Packets/s,0.01646315391870986,0.01646315391870986
Fwd Packet Length Min,0.015909898127787803,0.015909898127787803
Down/Up Ratio,0.015267229102740086,0.015267229102740086
Bwd Packet Length Min,0.015189468662277293,0.015189468662277293
Idle Mean,0.01410941802045065,0.01410941802045065
Init_Win_bytes_forward,0.012520408654899385,0.012520408654899385
Packet Length Mean,0.012366537294390394,0.012366537294390394
Fwd IAT Std,0.010766113727124646,0.010766113727124646
Fwd Packet Length Mean,0.010731885233384484,0.010731885233384484
Subflow Bwd Packets,0.010545602410677132,0.010545602410677132
Fwd IAT Total,0.010502418366980347,0.010502418366980347
Avg Fwd Segment Size,0.010473871615262259,0.010473871615262259
Total Backward Packets,0.010305637573527085,0.010305637573527085
Fwd IAT Mean,0.009482188726776603,0.009482188726776603
PSH Flag Count,0.008766313714266756,0.008766313714266756
Fwd PSH Flags,0.008513551743231994,0.008513551743231994
SYN Flag Count,0.008328967236576055,0.008328967236576055
Fwd IAT Min,0.007096086383957632,0.007096086383957632
Flow IAT Std,0.006983005343808092,0.006983005343808092
Flow IAT Min,0.005744885108988523,0.005744885108988523
Total Fwd Packets,0.005537817417183712,0.005537817417183712
act_data_pkt_fwd,0.005393150049514176,0.005393150049514176
Fwd Header Length,0.0053459313551612805,0.0053459313551612805
Bwd Header Length,0.005270549899543987,0.005270549899543987
Init_Win_bytes_backward,0.005190927811480955,0.005190927811480955
Fwd Packet Length Max,0.004573871854167386,0.004573871854167386
Flow IAT Mean,0.0045152902133897815,0.0045152902133897815
Subflow Fwd Bytes,0.004311119629623271,0.004311119629623271
Subflow Fwd Packets,0.0040916752520726305,0.0040916752520726305
Bwd Packets/s,0.003939531814550781,0.003939531814550781
Bwd IAT Mean,0.0034644018712963664,0.0034644018712963664
Total Length of Fwd Packets,0.003400003124844073,0.003400003124844073
Bwd IAT Std,0.003193099605515537,0.003193099605515537
Bwd IAT Total,0.0030294888022367804,0.0030294888022367804
Total Length of Bwd Packets,0.0029594581981017987,0.0029594581981017987
Bwd IAT Max,0.002900435084609078,0.002900435084609078
Flow Bytes/s,0.0028733099964834796,0.0028733099964834796
Active Mean,0.002641166003336656,0.002641166003336656
Bwd IAT Min,0.0024588649565822334,0.0024588649565822334
Subflow Bwd Bytes,0.002156857259210594,0.002156857259210594
Fwd Packet Length Std,0.0019527768434411902,0.0019527768434411902
Active Max,0.001924144916031776,0.001924144916031776
Active Min,0.0014091623623689862,0.0014091623623689862
Idle Std,0.001392191014960943,0.001392191014960943
Active Std,0.0005495608445591949,0.0005495608445591949
ECE Flag Count,0.0,0.0
RST Flag Count,0.0,0.0
