feature,coefficient,abs_importance
Bwd Packet Length Min,-10.484269969192004,10.484269969192004
Destination Port,-7.101912382599793,7.101912382599793
FIN Flag Count,4.188610357094306,4.188610357094306
Fwd Header Length,3.2155508731760616,3.2155508731760616
min_seg_size_forward,3.154160232531523,3.154160232531523
Total Backward Packets,-3.0025287997084407,3.0025287997084407
Subflow Bwd Packets,-3.0025287997084407,3.0025287997084407
Average Packet Size,2.9408362883043617,2.9408362883043617
Packet Length Variance,2.634591920140682,2.634591920140682
act_data_pkt_fwd,-2.62257637129684,2.62257637129684
URG Flag Count,-2.4075766885117464,2.4075766885117464
Packet Length Mean,2.3800446881352872,2.3800446881352872
Init_Win_bytes_forward,-2.371652453252001,2.371652453252001
Bwd IAT Std,2.2567490088262327,2.2567490088262327
Fwd Packet Length Max,-1.7065941156095208,1.7065941156095208
Min Packet Length,-1.6849419233361915,1.6849419233361915
Packet Length Std,1.5899140128640057,1.5899140128640057
Bwd Header Length,-1.5894696269003876,1.5894696269003876
Bwd Packet Length Std,1.3467364282048608,1.3467364282048608
Max Packet Length,1.3274386889871268,1.3274386889871268
Flow Bytes/s,-1.242325446207783,1.242325446207783
Bwd Packet Length Max,1.1583229659500653,1.1583229659500653
Fwd Packet Length Min,1.0776355700306266,1.0776355700306266
Fwd IAT Total,-1.0106930010187904,1.0106930010187904
ACK Flag Count,0.9848986879389937,0.9848986879389937
Flow IAT Std,0.7537601455795508,0.7537601455795508
Fwd PSH Flags,-0.7191588610668537,0.7191588610668537
SYN Flag Count,-0.7191588610668261,0.7191588610668261
Down/Up Ratio,-0.7115852983240599,0.7115852983240599
Idle Max,0.7071297492895662,0.7071297492895662
Bwd IAT Total,-0.6973703149788082,0.6973703149788082
Fwd Packets/s,0.6323507316705312,0.6323507316705312
Flow Packets/s,0.6265988456825745,0.6265988456825745
Flow Duration,-0.5916945221547927,0.5916945221547927
Fwd IAT Max,0.5903876407344009,0.5903876407344009
Fwd IAT Std,0.5716729051403623,0.5716729051403623
Flow IAT Max,0.5503932935199617,0.5503932935199617
Flow IAT Mean,0.5272811382891487,0.5272811382891487
Avg Fwd Segment Size,0.5224608505479528,0.5224608505479528
Fwd Packet Length Mean,0.5224608505479528,0.5224608505479528
Subflow Fwd Bytes,-0.4781776466258111,0.4781776466258111
Total Length of Fwd Packets,-0.47817764662576945,0.47817764662576945
Fwd Packet Length Std,-0.4263976004045164,0.4263976004045164
Bwd IAT Max,0.39945793624094955,0.39945793624094955
Active Mean,0.27488398737855047,0.27488398737855047
Fwd IAT Mean,-0.24838673534453676,0.24838673534453676
Idle Mean,0.226874808836665,0.226874808836665
Init_Win_bytes_backward,-0.18156407717485448,0.18156407717485448
Active Max,-0.1761486759688343,0.1761486759688343
Idle Min,-0.1440507316981844,0.1440507316981844
Active Min,-0.10937849230196861,0.10937849230196861
Bwd Packet Length Mean,-0.1049956902848397,0.1049956902848397
Avg Bwd Segment Size,-0.1049956902848397,0.1049956902848397
Total Fwd Packets,0.09820494644085051,0.09820494644085051
Subflow Fwd Packets,0.09820494644083973,0.09820494644083973
Bwd Packets/s,0.07681052667135232,0.07681052667135232
Bwd IAT Mean,0.06543052578564117,0.06543052578564117
PSH Flag Count,-0.060274104856565425,0.060274104856565425
Active Std,0.057256143568110776,0.057256143568110776
Flow IAT Min,0.04815353098506876,0.04815353098506876
Bwd IAT Min,0.03417366489837283,0.03417366489837283
Idle Std,-0.02217366812679599,0.02217366812679599
Fwd IAT Min,-0.010020204801835264,0.010020204801835264
Total Length of Bwd Packets,-0.0035499830496138716,0.0035499830496138716
Subflow Bwd Bytes,-0.0035499830496064574,0.0035499830496064574
ECE Flag Count,-0.003336561063722936,0.003336561063722936
RST Flag Count,-0.003336561063722936,0.003336561063722936
