feature,importance,abs_importance
source_port,2924.0,2924.0
init_win_bytes_backward,2191.0,2191.0
bwd_packet_length_max,1955.0,1955.0
fwd_iat_min,1934.0,1934.0
fwd_packet_length_max,1923.0,1923.0
active_min,1912.0,1912.0
bwd_iat_min,1778.0,1778.0
max_packet_length,1594.0,1594.0
flow_iat_min,1550.0,1550.0
bwd_packet_length_std,1550.0,1550.0
total_length_of_fwd_packets,1395.0,1395.0
bwd_packet_length_mean,1333.0,1333.0
total_length_of_bwd_packets,1286.0,1286.0
fwd_packet_length_mean,1284.0,1284.0
fwd_packet_length_std,1030.0,1030.0
active_mean,1015.0,1015.0
bwd_iat_total,924.0,924.0
down_up_ratio,918.0,918.0
fwd_iat_max,904.0,904.0
destination_port,896.0,896.0
bwd_iat_std,873.0,873.0
active_max,861.0,861.0
idle_min,829.0,829.0
fwd_iat_total,757.0,757.0
packet_length_mean,739.0,739.0
idle_std,716.0,716.0
flow_iat_std,678.0,678.0
active_std,675.0,675.0
bwd_header_length,663.0,663.0
packet_length_std,650.0,650.0
fwd_iat_std,643.0,643.0
flow_duration,643.0,643.0
bwd_iat_max,641.0,641.0
fwd_header_length,635.0,635.0
flow_bytes_per_s,631.0,631.0
bwd_iat_mean,523.0,523.0
fwd_iat_mean,518.0,518.0
fwd_packets_per_s,503.0,503.0
bwd_packets_per_s,490.0,490.0
idle_mean,478.0,478.0
fin_flag_count,471.0,471.0
flow_iat_max,452.0,452.0
flow_packets_per_s,448.0,448.0
rst_flag_count,433.0,433.0
idle_max,365.0,365.0
flow_iat_mean,355.0,355.0
act_data_pkt_fwd,353.0,353.0
init_win_bytes_forward,332.0,332.0
ack_flag_count,312.0,312.0
total_fwd_packets,291.0,291.0
min_seg_size_forward,271.0,271.0
total_backward_packets,267.0,267.0
protocol,223.0,223.0
bwd_psh_flags,206.0,206.0
fwd_psh_flags,203.0,203.0
psh_flag_count,189.0,189.0
syn_flag_count,168.0,168.0
bwd_packet_length_min,168.0,168.0
avg_fwd_segment_size,129.0,129.0
avg_bwd_segment_size,106.0,106.0
fwd_packet_length_min,103.0,103.0
min_packet_length,80.0,80.0
average_packet_size,76.0,76.0
has_init_win_bytes_backward,73.0,73.0
packet_length_variance,67.0,67.0
cwe_flag_count,15.0,15.0
ece_flag_count,2.0,2.0
has_init_win_bytes_forward,0.0,0.0
