feature,importance,abs_importance
fwd_iat_min,2181.0,2181.0
init_win_bytes_backward,2161.0,2161.0
bwd_iat_min,2112.0,2112.0
fwd_packet_length_max,2061.0,2061.0
bwd_packet_length_max,2046.0,2046.0
active_min,1884.0,1884.0
bwd_packet_length_std,1770.0,1770.0
flow_iat_min,1697.0,1697.0
max_packet_length,1585.0,1585.0
bwd_packet_length_mean,1413.0,1413.0
total_length_of_fwd_packets,1412.0,1412.0
total_length_of_bwd_packets,1366.0,1366.0
fwd_packet_length_mean,1337.0,1337.0
active_mean,1105.0,1105.0
fwd_packet_length_std,1086.0,1086.0
bwd_iat_total,1011.0,1011.0
fwd_iat_total,1005.0,1005.0
down_up_ratio,954.0,954.0
bwd_iat_std,953.0,953.0
idle_min,941.0,941.0
active_max,859.0,859.0
idle_std,798.0,798.0
fwd_iat_max,794.0,794.0
packet_length_mean,791.0,791.0
active_std,779.0,779.0
fwd_iat_std,763.0,763.0
flow_duration,761.0,761.0
bwd_iat_max,712.0,712.0
bwd_header_length,685.0,685.0
packet_length_std,675.0,675.0
fwd_header_length,664.0,664.0
flow_iat_std,646.0,646.0
flow_bytes_per_s,628.0,628.0
fwd_iat_mean,594.0,594.0
bwd_packets_per_s,584.0,584.0
bwd_iat_mean,553.0,553.0
fwd_packets_per_s,526.0,526.0
flow_iat_max,526.0,526.0
fin_flag_count,504.0,504.0
rst_flag_count,487.0,487.0
flow_packets_per_s,472.0,472.0
flow_iat_mean,437.0,437.0
idle_mean,432.0,432.0
init_win_bytes_forward,420.0,420.0
fwd_psh_flags,415.0,415.0
act_data_pkt_fwd,390.0,390.0
ack_flag_count,389.0,389.0
idle_max,379.0,379.0
min_seg_size_forward,288.0,288.0
total_fwd_packets,285.0,285.0
bwd_psh_flags,278.0,278.0
total_backward_packets,266.0,266.0
protocol,250.0,250.0
psh_flag_count,243.0,243.0
bwd_packet_length_min,241.0,241.0
fwd_packet_length_min,190.0,190.0
min_packet_length,155.0,155.0
syn_flag_count,136.0,136.0
avg_fwd_segment_size,135.0,135.0
avg_bwd_segment_size,128.0,128.0
average_packet_size,94.0,94.0
packet_length_variance,85.0,85.0
has_init_win_bytes_backward,55.0,55.0
cwe_flag_count,18.0,18.0
has_init_win_bytes_forward,8.0,8.0
ece_flag_count,2.0,2.0
