feature,importance,abs_importance
source_port,2979.0,2979.0
init_win_bytes_backward,2106.0,2106.0
bwd_iat_min,2020.0,2020.0
bwd_packet_length_max,1981.0,1981.0
fwd_packet_length_max,1910.0,1910.0
active_min,1874.0,1874.0
fwd_iat_min,1837.0,1837.0
max_packet_length,1571.0,1571.0
flow_iat_min,1554.0,1554.0
bwd_packet_length_std,1528.0,1528.0
bwd_packet_length_mean,1329.0,1329.0
total_length_of_fwd_packets,1316.0,1316.0
total_length_of_bwd_packets,1301.0,1301.0
fwd_packet_length_mean,1218.0,1218.0
fwd_packet_length_std,1020.0,1020.0
active_mean,1007.0,1007.0
fwd_iat_max,940.0,940.0
down_up_ratio,921.0,921.0
bwd_iat_std,917.0,917.0
destination_port,896.0,896.0
active_max,877.0,877.0
bwd_iat_total,844.0,844.0
packet_length_mean,755.0,755.0
idle_std,741.0,741.0
bwd_header_length,740.0,740.0
fwd_iat_std,739.0,739.0
idle_min,720.0,720.0
fwd_iat_total,716.0,716.0
flow_iat_std,690.0,690.0
flow_bytes_per_s,650.0,650.0
fwd_header_length,649.0,649.0
flow_duration,630.0,630.0
packet_length_std,630.0,630.0
active_std,630.0,630.0
bwd_iat_max,623.0,623.0
fwd_iat_mean,564.0,564.0
bwd_packets_per_s,550.0,550.0
bwd_iat_mean,529.0,529.0
fwd_packets_per_s,509.0,509.0
idle_mean,505.0,505.0
flow_iat_max,439.0,439.0
fin_flag_count,410.0,410.0
rst_flag_count,408.0,408.0
flow_packets_per_s,403.0,403.0
flow_iat_mean,376.0,376.0
idle_max,331.0,331.0
ack_flag_count,330.0,330.0
act_data_pkt_fwd,327.0,327.0
init_win_bytes_forward,324.0,324.0
total_fwd_packets,319.0,319.0
min_seg_size_forward,312.0,312.0
total_backward_packets,294.0,294.0
protocol,226.0,226.0
bwd_psh_flags,210.0,210.0
fwd_psh_flags,192.0,192.0
bwd_packet_length_min,183.0,183.0
psh_flag_count,180.0,180.0
syn_flag_count,157.0,157.0
avg_bwd_segment_size,128.0,128.0
avg_fwd_segment_size,126.0,126.0
fwd_packet_length_min,87.0,87.0
min_packet_length,86.0,86.0
average_packet_size,78.0,78.0
has_init_win_bytes_backward,73.0,73.0
packet_length_variance,67.0,67.0
cwe_flag_count,12.0,12.0
has_init_win_bytes_forward,4.0,4.0
ece_flag_count,2.0,2.0
