feature,importance,abs_importance
init_win_bytes_backward,0.07099125375617166,0.07099125375617166
average_packet_size,0.06723727733251304,0.06723727733251304
packet_length_variance,0.06376462585802771,0.06376462585802771
has_init_win_bytes_backward,0.06097383433448844,0.06097383433448844
bwd_packet_length_std,0.055314293763239084,0.055314293763239084
max_packet_length,0.05467833832464096,0.05467833832464096
packet_length_std,0.05154104839819808,0.05154104839819808
bwd_packet_length_max,0.04981781459040327,0.04981781459040327
bwd_header_length,0.04907578351503277,0.04907578351503277
packet_length_mean,0.04590424954018235,0.04590424954018235
has_init_win_bytes_forward,0.041372366758264695,0.041372366758264695
init_win_bytes_forward,0.040888141618312356,0.040888141618312356
avg_bwd_segment_size,0.036255017624707155,0.036255017624707155
active_min,0.022957141224731047,0.022957141224731047
bwd_iat_max,0.019197873838043677,0.019197873838043677
bwd_iat_mean,0.01918492253347098,0.01918492253347098
protocol,0.01853289221616274,0.01853289221616274
flow_duration,0.01798581465433756,0.01798581465433756
bwd_packet_length_mean,0.015340381093465543,0.015340381093465543
fwd_packet_length_min,0.013717329264497192,0.013717329264497192
flow_packets_per_s,0.013223853076314138,0.013223853076314138
flow_iat_min,0.01249405426942745,0.01249405426942745
flow_iat_std,0.01204628085825295,0.01204628085825295
idle_mean,0.011746102632040293,0.011746102632040293
flow_iat_mean,0.011492319191074152,0.011492319191074152
total_length_of_bwd_packets,0.011444492939983347,0.011444492939983347
fwd_iat_mean,0.006779865489931646,0.006779865489931646
fwd_iat_max,0.00624908982916785,0.00624908982916785
flow_bytes_per_s,0.006048496600551992,0.006048496600551992
fwd_packet_length_std,0.005552500794835835,0.005552500794835835
total_length_of_fwd_packets,0.005490555497246234,0.005490555497246234
fwd_packet_length_mean,0.004876480733242505,0.004876480733242505
fwd_iat_total,0.004840045171655209,0.004840045171655209
fwd_iat_std,0.004823805880212828,0.004823805880212828
min_packet_length,0.004778171538268047,0.004778171538268047
fwd_packet_length_max,0.004477695785168985,0.004477695785168985
min_seg_size_forward,0.004204470399647734,0.004204470399647734
act_data_pkt_fwd,0.004082017808762214,0.004082017808762214
idle_std,0.004069618054569566,0.004069618054569566
avg_fwd_segment_size,0.004046973852966383,0.004046973852966383
destination_port,0.00393167980026748,0.00393167980026748
bwd_iat_total,0.003128067145556203,0.003128067145556203
bwd_psh_flags,0.0025673391294632553,0.0025673391294632553
rst_flag_count,0.002436562857208106,0.002436562857208106
bwd_iat_std,0.0022485070734767627,0.0022485070734767627
fwd_iat_min,0.0022075663300069243,0.0022075663300069243
bwd_iat_min,0.0021585429452888666,0.0021585429452888666
down_up_ratio,0.0020566415184181002,0.0020566415184181002
total_backward_packets,0.001911572066634876,0.001911572066634876
fwd_psh_flags,0.001911200560202623,0.001911200560202623
fwd_header_length,0.0017202751262016059,0.0017202751262016059
total_fwd_packets,0.0016881874445069188,0.0016881874445069188
idle_max,0.0015775255037218077,0.0015775255037218077
active_std,0.0015187979166467096,0.0015187979166467096
flow_iat_max,0.0013393037584990208,0.0013393037584990208
fwd_packets_per_s,0.0012205555116503967,0.0012205555116503967
psh_flag_count,0.001204326963586085,0.001204326963586085
active_max,0.0011775882909627088,0.0011775882909627088
ack_flag_count,0.0010712788216017458,0.0010712788216017458
active_mean,0.0010617890335244927,0.0010617890335244927
bwd_packets_per_s,0.0010501639003268465,0.0010501639003268465
idle_min,0.0009757472251312698,0.0009757472251312698
fin_flag_count,0.0009142613059932629,0.0009142613059932629
source_port,0.0007829709717844062,0.0007829709717844062
syn_flag_count,0.00043454259044752524,0.00043454259044752524
ece_flag_count,7.858052477559857e-05,7.858052477559857e-05
cwe_flag_count,7.688400117907262e-05,7.688400117907262e-05
bwd_packet_length_min,5.225104072767266e-05,5.225104072767266e-05
