feature,coefficient,abs_importance
max_packet_length,23.974209270851404,23.974209270851404
packet_length_variance,13.187121283589104,13.187121283589104
bwd_packet_length_max,13.176912795838222,13.176912795838222
fwd_packet_length_std,5.219620489069285,5.219620489069285
total_fwd_packets,-4.517403188209601,4.517403188209601
ack_flag_count,4.424014616152863,4.424014616152863
packet_length_std,4.2920913206712035,4.2920913206712035
has_init_win_bytes_backward,4.08638064099343,4.08638064099343
total_backward_packets,-3.425954922403252,3.425954922403252
min_seg_size_forward,-3.319351937196401,3.319351937196401
bwd_packet_length_mean,-3.1904336113761147,3.1904336113761147
avg_bwd_segment_size,-3.1904336113761147,3.1904336113761147
down_up_ratio,-2.920657640423928,2.920657640423928
bwd_header_length,2.5625639103734157,2.5625639103734157
flow_duration,-2.5128458079972775,2.5128458079972775
bwd_iat_mean,-2.2455056770839232,2.2455056770839232
fwd_packet_length_max,-2.1257373969480806,2.1257373969480806
fwd_iat_mean,2.091279036149688,2.091279036149688
bwd_packet_length_std,-2.08433436523735,2.08433436523735
fwd_iat_max,1.866302144307283,1.866302144307283
bwd_iat_total,1.8244203611861756,1.8244203611861756
syn_flag_count,1.4758679409789177,1.4758679409789177
avg_fwd_segment_size,-1.4746774521432042,1.4746774521432042
fwd_packet_length_mean,-1.4746774521432042,1.4746774521432042
flow_iat_mean,1.4481375574525193,1.4481375574525193
fwd_packet_length_min,1.4391919576581638,1.4391919576581638
ece_flag_count,-1.4182930800380034,1.4182930800380034
bwd_packet_length_min,1.2081588041296474,1.2081588041296474
bwd_iat_std,1.099452006593283,1.099452006593283
fwd_iat_std,-1.0805531395132544,1.0805531395132544
fwd_iat_total,1.0360127350271513,1.0360127350271513
flow_iat_std,-0.8632255704948616,0.8632255704948616
packet_length_mean,-0.8368326938849656,0.8368326938849656
average_packet_size,-0.8368326938846062,0.8368326938846062
cwe_flag_count,-0.7208217603144836,0.7208217603144836
idle_max,-0.6895279792307957,0.6895279792307957
fwd_header_length,0.667569293622677,0.667569293622677
bwd_iat_max,0.6631981404045614,0.6631981404045614
has_init_win_bytes_forward,-0.5721012059117697,0.5721012059117697
init_win_bytes_backward,-0.5654129311099028,0.5654129311099028
protocol,0.5468741383826017,0.5468741383826017
total_length_of_fwd_packets,0.4533228603552826,0.4533228603552826
total_length_of_bwd_packets,0.41810581802281777,0.41810581802281777
fin_flag_count,0.3557603380367749,0.3557603380367749
active_max,-0.3250617648254356,0.3250617648254356
rst_flag_count,-0.3155386443791328,0.3155386443791328
source_port,-0.2865558197716848,0.2865558197716848
init_win_bytes_forward,-0.2693607457420986,0.2693607457420986
flow_bytes_per_s,-0.2271034251023711,0.2271034251023711
psh_flag_count,-0.22282435505352102,0.22282435505352102
active_std,0.21305208151270702,0.21305208151270702
bwd_packets_per_s,0.1973281982387865,0.1973281982387865
idle_mean,0.1768315597964956,0.1768315597964956
min_packet_length,0.17148625640008988,0.17148625640008988
fwd_iat_min,-0.159025739904305,0.159025739904305
idle_min,-0.15241432570361502,0.15241432570361502
flow_packets_per_s,-0.14798057495056882,0.14798057495056882
act_data_pkt_fwd,-0.13041482762653495,0.13041482762653495
fwd_packets_per_s,0.12941103767593007,0.12941103767593007
fwd_psh_flags,-0.11807953231512425,0.11807953231512425
idle_std,-0.07996426538304685,0.07996426538304685
bwd_iat_min,0.07704896361112115,0.07704896361112115
destination_port,0.04780171178559966,0.04780171178559966
active_mean,0.04243395976727461,0.04243395976727461
flow_iat_min,0.037611699437682916,0.037611699437682916
active_min,0.03486606828955141,0.03486606828955141
bwd_psh_flags,0.03427023846438061,0.03427023846438061
flow_iat_max,-0.014660383427122621,0.014660383427122621
