epoch,train_loss_optim,best_epoch,best_score,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_precision,train_weighted_recall,train_weighted_f1,train_precision_label1,train_recall_label1,train_f1_label1,train_auc,train_per_class_f1,train_num_classes,train_num_samples,train_threshold,train_loss,train_positive_count,train_positive_rate,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,val_precision_label1,val_recall_label1,val_f1_label1,val_auc,val_per_class_f1,val_num_classes,val_num_samples,val_threshold,val_loss,val_positive_count,val_positive_rate,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_precision_label1,test_recall_label1,test_f1_label1,test_auc,test_per_class_f1,test_num_classes,test_num_samples,test_threshold,test_loss,test_positive_count,test_positive_rate
1,0.053247799933349584,1,0.291970802919708,0.885586978936515,0.6122066899650525,0.9408348249990479,0.6518394519861831,0.974324187235129,0.885586978936515,0.9182261217271617,0.22441337993010485,1.0,0.3665647298674822,0.9905715486305194,"{'0': 0.937114174104884, '1': 0.3665647298674822}",2,27156,0.5,0.30425982056977136,899,0.033105022831050226,0.8487132830777229,0.585055983253226,0.8778294383947143,0.6036396505867457,0.9679842788637539,0.8487132830777229,0.8939202539636619,0.17391304347826086,0.9090909090909091,0.291970802919708,0.9505179656592846,"{'0': 0.9153084982537835, '1': 0.291970802919708}",2,3847,0.5,0.6174168080548543,132,0.03431245126072264,0.8196400625978091,0.5701817949650949,0.850987497923243,0.5735477317291469,0.9662563611664812,0.8196400625978091,0.8755336512225714,0.14529374605180037,0.8846153846153846,0.24959305480195335,0.9300846797640803,"{'0': 0.8975024086563403, '1': 0.24959305480195335}",2,7668,0.5,0.7358914043795148,260,0.03390714658320292
2,0.015024138271994093,2,0.44227005870841485,0.9474885844748858,0.693195408524352,0.9717710745114931,0.7646162105333796,0.9796112544759216,0.9474885844748858,0.9583527437222463,0.3864713485566566,0.9977753058954394,0.5571428571428572,0.9954284980544201,"{'0': 0.972089563923902, '1': 0.5571428571428572}",2,27156,0.5,0.14383484711624997,899,0.033105022831050226,0.9259162984143489,0.6463371861238676,0.892229495493291,0.7012965217668483,0.9706272344685728,0.9259162984143489,0.9425473190474221,0.29815303430079154,0.8560606060606061,0.44227005870841485,0.9535268567233574,"{'0': 0.9603229848252819, '1': 0.44227005870841485}",2,3847,0.5,0.611000582343391,132,0.03431245126072264,0.9213615023474179,0.6328894433796599,0.860954892839342,0.6824838833482587,0.9679557868150733,0.9213615023474179,0.9392117769892134,0.27344782034346105,0.7961538461538461,0.40707964601769914,0.9343254174281442,"{'0': 0.9578881206788183, '1': 0.40707964601769914}",2,7668,0.5,0.7824082259996272,260,0.03390714658320292
3,0.010371669823470356,3,0.515970515970516,0.9654588304610399,0.744590251041797,0.9799895725671841,0.8189872123843898,0.9829418314704786,0.9654588304610399,0.9710351610984758,0.48933843630399126,0.9955506117908788,0.656158357771261,0.996082680298443,"{'0': 0.9818160669975186, '1': 0.656158357771261}",2,27156,0.5,0.10332664430501137,899,0.033105022831050226,0.9487912659214973,0.6871296956123384,0.8748470573840694,0.7444680355343181,0.9714892365336961,0.9487912659214973,0.957284935091662,0.38181818181818183,0.7954545454545454,0.515970515970516,0.9404655573228924,"{'0': 0.97296555509812, '1': 0.515970515970516}",2,3847,0.5,0.7866954655602392,132,0.03431245126072264,0.945357329160146,0.6753144597092834,0.8640959877055989,0.7310081655538392,0.9703720003443745,0.945357329160146,0.954845685124019,0.35879218472468916,0.7769230769230769,0.4908869987849332,0.9171615405382954,"{'0': 0.9711293323227451, '1': 0.4908869987849332}",2,7668,0.5,0.9230567008649457,260,0.03390714658320292
4,0.009179954748479453,3,0.515970515970516,0.948519664162616,0.695690030474532,0.973378527630727,0.7676143324550477,0.9798516230222863,0.948519664162616,0.9590749919475567,0.391380060949064,1.0,0.5625782227784731,0.9959224179341677,"{'0': 0.9726504421316222, '1': 0.5625782227784731}",2,27156,0.5,0.16942844081613528,899,0.033105022831050226,0.9287756693527424,0.651465615745167,0.8973632693013581,0.7080426901958351,0.9712602478906264,0.9287756693527424,0.9444810352837869,0.3081081081081081,0.8636363636363636,0.4541832669322709,0.9452934458990986,"{'0': 0.9619021134593994, '1': 0.4541832669322709}",2,3847,0.5,0.752339366926172,132,0.03431245126072264,0.9211006781429316,0.6332663948000528,0.8645310682837681,0.6831664424175631,0.9682451407028365,0.9211006781429316,0.9391113509149196,0.27391874180865006,0.8038461538461539,0.40860215053763443,0.9257704768233926,"{'0': 0.9577307342974918, '1': 0.40860215053763443}",2,7668,0.5,0.9207467687863762,260,0.03390714658320292
5,0.007842165226875936,3,0.515970515970516,0.9677051112093091,0.7530320823533689,0.9811511675704213,0.8270923947460387,0.983501119852477,0.9677051112093091,0.9726947984405796,0.5062217194570136,0.9955506117908788,0.6711661042369704,0.996946415221527,"{'0': 0.9830186852551069, '1': 0.6711661042369704}",2,27156,0.5,0.10544342316093387,899,0.033105022831050226,0.9467117234208474,0.6834785297910455,0.8847302092254986,0.7424388450041199,0.9719962822461022,0.9467117234208474,0.9560727397405865,0.3737024221453287,0.8181818181818182,0.5130641330166271,0.9302581671356908,"{'0': 0.9718135569916128, '1': 0.5130641330166271}",2,3847,0.5,0.8081427997438347,132,0.03431245126072264,0.9443140323422013,0.6708117226997651,0.8524225369662735,0.7246093439521833,0.9692841668713887,0.9443140323422013,0.9539054620149442,0.35062611806797855,0.7538461538461538,0.47863247863247865,0.9084918591128095,"{'0': 0.9705862092718881, '1': 0.47863247863247865}",2,7668,0.5,1.0191134616293414,260,0.03390714658320292
6,0.006306964743083578,6,0.5370843989769821,0.9733392252172632,0.7769975433548792,0.9846018073341362,0.8491318700328707,0.9851253072820731,0.9733392252172632,0.9769585791548604,0.5541125541125541,0.996662958843159,0.712241653418124,0.9971553959888995,"{'0': 0.9860220866476176, '1': 0.712241653418124}",2,27156,0.5,0.09681390220101685,899,0.033105022831050226,0.952950350922797,0.6989401608966826,0.877000489416371,0.7561500318861358,0.9723311224057146,0.952950350922797,0.9601823070911002,0.40540540540540543,0.7954545454545454,0.5370843989769821,0.9129267098984459,"{'0': 0.9752156647952896, '1': 0.5370843989769821}",2,3847,0.5,0.9400848727188317,132,0.03431245126072264,0.9495305164319249,0.6818543033494775,0.8402776624023924,0.7331178262031285,0.9690577814511486,0.9495305164319249,0.9571464880069571,0.37375745526838966,0.7230769230769231,0.4927916120576671,0.8919533456554245,"{'0': 0.9734440403485899, '1': 0.4927916120576671}",2,7668,0.5,1.169336617235862,260,0.03390714658320292
7,0.00655501574032718,7,0.5478036175710594,0.9740020621593755,0.7801529784488737,0.9838703111025894,0.8516480001267777,0.9852612595442131,0.9740020621593755,0.9774550841030414,0.5605015673981191,0.9944382647385984,0.7169206094627105,0.9968816832911509,"{'0': 0.9863753907908449, '1': 0.7169206094627105}",2,27156,0.5,0.11054392426385422,899,0.033105022831050226,0.9545100077982844,0.704223983580069,0.8814613157143439,0.7619269901184982,0.972960820491626,0.9545100077982844,0.9613561670973056,0.41568627450980394,0.803030303030303,0.5478036175710594,0.9027835556099351,"{'0': 0.9760503626659368, '1': 0.5478036175710594}",2,3847,0.5,0.9498122687822311,132,0.03431245126072264,0.9522691705790297,0.6917563310605437,0.8528285429473335,0.7447447108767868,0.9705206689165525,0.9522691705790297,0.9592927059522327,0.39271255060728744,0.7461538461538462,0.5145888594164456,0.8804021639807278,"{'0': 0.974900562337128, '1': 0.5145888594164456}",2,7668,0.5,1.215548160220178,260,0.03390714658320292
8,0.005920577452886789,8,0.5561497326203209,0.9778317867138018,0.7997488000666071,0.9853136043853002,0.8681561648470377,0.9865230731826448,0.9778317867138018,0.9804443762204793,0.5997313633310947,0.9933259176863182,0.7479061976549414,0.9960729789816524,"{'0': 0.9884061320391341, '1': 0.7479061976549414}",2,27156,0.5,0.08978064795245418,899,0.033105022831050226,0.9568494931115155,0.7109925379122202,0.8753660426607937,0.7667360684959528,0.9729329097466164,0.9568494931115155,0.9628709375997712,0.4297520661157025,0.7878787878787878,0.5561497326203209,0.8907897956686652,"{'0': 0.9773224043715847, '1': 0.5561497326203209}",2,3847,0.5,0.9856440465604006,132,0.03431245126072264,0.9534428794992176,0.6919855575457339,0.8311690064794817,0.7402137051639326,0.9690233484327041,0.9534428794992176,0.959612314369146,0.3947939262472885,0.7,0.5048543689320388,0.8737788669214155,"{'0': 0.9755730413958262, '1': 0.5048543689320388}",2,7668,0.5,1.2903661471954315,260,0.03390714658320292
9,0.006169548990243821,8,0.5561497326203209,0.9756223302400943,0.7880738480949605,0.9852453138933066,0.8586255881533228,0.9858224722212101,0.9756223302400943,0.9787196371266207,0.5763039278815196,0.9955506117908788,0.7300163132137031,0.9966120587028797,"{'0': 0.9872348630929425, '1': 0.7300163132137031}",2,27156,0.5,0.09136072775493884,899,0.033105022831050226,0.9537301793605407,0.7027595898942796,0.8883641257800073,0.7619198943049857,0.9733667587349697,0.9537301793605407,0.9609515338514825,0.4122137404580153,0.8181818181818182,0.5482233502538071,0.9004200823850891,"{'0': 0.9756164383561644, '1': 0.5482233502538071}",2,3847,0.5,0.8911705932092939,132,0.03431245126072264,0.9543557642149192,0.698073139155551,0.8520528742315999,0.7502419594997023,0.9708408883997981,0.9543557642149192,0.9607159173912734,0.4054621848739496,0.7423076923076923,0.5244565217391305,0.8891538773052001,"{'0': 0.976027397260274, '1': 0.5244565217391305}",2,7668,0.5,1.116191652445798,260,0.03390714658320292
10,0.005929861074828774,8,0.5561497326203209,0.9751804389453528,0.7858908007250363,0.984479672415763,0.8566198972697441,0.9856413894054685,0.9751804389453528,0.9783684279172732,0.5719769673704415,0.9944382647385984,0.7262388302193339,0.9966245136685411,"{'0': 0.9870009643201543, '1': 0.7262388302193339}",2,27156,0.5,0.09528704531994805,899,0.033105022831050226,0.9490512087340786,0.6894929712843927,0.8859415147436682,0.7486780810776938,0.9724248741691581,0.9490512087340786,0.9576844613958383,0.38571428571428573,0.8181818181818182,0.5242718446601942,0.9119437986867327,"{'0': 0.9730843174951936, '1': 0.5242718446601942}",2,3847,0.5,0.8976627829813291,132,0.03431245126072264,0.9531820552947313,0.6945831845215543,0.8533010051503572,0.7474016980940419,0.9707207298287951,0.9531820552947313,0.959931389362721,0.39835728952772076,0.7461538461538462,0.5194109772423026,0.892322489200864,"{'0': 0.9753924189457811, '1': 0.5194109772423026}",2,7668,0.5,1.1355463322463368,260,0.03390714658320292
