record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,0,1753970816065937,1753970816,65937,586959886115832,0,4,194.180.49.108,185.239.60.42,55754,33189,6,40,40,0,64,609436740,0,0,2560,20,-1,-1,-1,1,4320062,5330408,1
packet,108631,1753970810621095,1753970810,621095,586959886115832,0,4,194.180.49.108,185.239.60.42,55754,33189,6,101,83,43,121,609435468,2173576520,24,1026,20,-1,-1,-1,0,22685,25681,1
packet,0,1753970810035735,1753970810,35735,591147588971802,0,4,185.239.62.161,185.46.212.40,49332,443,6,40,40,0,64,1440252566,4158939298,16,2560,20,-1,-1,-1,2,0,6858,1
packet,0,1753970816065937,1753970816,65937,638367098695589,1,4,142.250.186.35,185.239.63.144,80,59247,6,40,40,0,64,1196683523,0,0,2560,20,-1,-1,-1,2,0,5509452,1
packet,0,1753970810825568,1753970810,825568,731039072620777,0,4,10.30.9.88,165.225.240.59,59138,443,17,76,76,48,127,0,0,0,-1,-1,56,-1,-1,22,0,0,1
packet,0,1753970814442870,1753970814,442870,731039072620777,0,4,10.30.9.88,165.225.240.59,59138,443,17,450,450,422,127,0,0,0,-1,-1,430,-1,-1,22,0,0,1
packet,0,1753970814470400,1753970814,470400,731039072620777,1,4,165.225.240.59,10.30.9.88,443,59138,17,167,167,139,64,0,0,0,-1,-1,147,-1,-1,22,23471,23471,1
packet,0,1753970815583207,1753970815,583207,731039072620777,1,4,165.225.240.59,10.30.9.88,443,59138,17,145,145,117,64,0,0,0,-1,-1,125,-1,-1,22,1089538,1112807,1
packet,0,1753970816065937,1753970816,65937,790381537562621,0,4,185.239.62.26,104.85.248.88,58745,80,6,40,40,0,64,1133850954,0,0,2560,20,-1,-1,-1,2,5167061,5184108,1
packet,0,1753970816065937,1753970816,65937,910633175876293,1,4,185.252.79.174,185.41.138.88,8080,48618,6,40,40,0,64,3806810360,0,0,2560,20,-1,-1,-1,2,0,4419722,1
packet,0,1753970816065937,1753970816,65937,980832669095548,0,4,185.239.62.240,13.227.219.108,52328,443,6,40,40,0,64,2988758402,0,0,2560,20,-1,-1,-1,5,4279008,4302205,1
packet,0,1753970816065937,1753970816,65937,984670365785082,1,4,109.106.179.37,185.239.63.41,587,62645,6,40,40,0,64,165694395,0,0,2560,20,-1,-1,-1,4,0,594134,1
