column,missing_count,missing_ratio,dtype
direction,0,0.0,int64
direction_iat_us,0,0.0,int64
dst_ip,0,0.0,str
dst_port,0,0.0,int64
flow_iat_us,0,0.0,int64
flow_id,0,0.0,int64
icmp_code,0,0.0,int64
icmp_type,0,0.0,int64
ip_len,0,0.0,int64
ip_version,0,0.0,int64
l7_proto,0,0.0,int64
packet_id,0,0.0,int64
packet_label,0,0.0,int64
payload_len,0,0.0,int64
pkt_len,0,0.0,int64
protocol,0,0.0,int64
record_type,0,0.0,str
src_ip,0,0.0,str
src_port,0,0.0,int64
tcp_ack,0,0.0,int64
tcp_flags,0,0.0,int64
tcp_header_len,0,0.0,int64
tcp_seq,0,0.0,int64
tcp_window,0,0.0,int64
timestamp_us,0,0.0,int64
ts_sec,0,0.0,int64
ts_usec,0,0.0,int64
ttl_or_hop_limit,0,0.0,int64
udp_len,0,0.0,int64
