,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,inf_count,zero_count,negative_count
flow_id,38671.0,1275668663233480.2,519386892479142.44,139165655766.0,268729878543981.4,582621142775967.5,817247180396931.0,1238260148768394.0,1712940929165596.5,2135186190734017.5,2228322581177433.0,2251716171744908.0,0,0,0,0
source_port,38671.0,30869.134157378914,24208.691360857887,0.0,8.0,53.0,443.0,33980.0,54191.0,63114.5,65042.3,65534.0,0,0,266,0
destination_port,38671.0,17350.202115280183,23041.594997468525,0.0,0.0,53.0,443.0,4240.0,38508.5,61445.5,64664.3,65534.0,0,0,1187,0
protocol,38671.0,9.151353727599494,6.294420889355904,1.0,1.0,6.0,6.0,6.0,17.0,17.0,17.0,58.0,0,0,0,0
flow_duration,38671.0,1425156.458948566,2011034.1736247586,0.0,0.0,0.0,3398.5,76639.0,2873308.5,5633705.0,6041836.200000001,6091645.0,0,0,8073,0
total_fwd_packets,38671.0,14.948152362235266,204.1286242616791,1.0,1.0,1.0,1.0,2.0,4.0,24.0,200.0,27112.0,0,0,0,0
total_backward_packets,38671.0,10.994259264047995,124.57934419638872,0.0,0.0,0.0,0.0,1.0,3.0,20.0,185.3000000000029,9560.0,0,0,15958,0
total_length_of_fwd_packets,38671.0,9652.85239585219,255655.0904415264,0.0,0.0,0.0,0.0,46.0,502.5,7046.5,79248.60000000207,37971444.0,0,0,10720,0
total_length_of_bwd_packets,38671.0,7923.78986837682,144212.65538961437,0.0,0.0,0.0,0.0,0.0,210.0,5840.0,88865.90000000379,13342462.0,0,0,22353,0
fwd_packet_length_max,38671.0,295.22665563342036,489.0038848930347,0.0,0.0,0.0,0.0,44.0,298.5,1448.0,1460.0,1701.0,0,0,10720,0
fwd_packet_length_min,38671.0,60.01290372630653,193.69953141573674,0.0,0.0,0.0,0.0,0.0,43.0,261.0,1200.0,1701.0,0,0,20172,0
fwd_packet_length_mean,38671.0,152.6458447581133,288.92964377620393,0.0,0.0,0.0,0.0,37.0,128.0,843.55,1339.6102862000002,1701.0,0,0,10720,0
