,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,inf_count,zero_count,negative_count
packet_id,1003219.0,494303.290207821,291900.7518289049,0.0,0.0,39067.9,241346.5,494255.0,747184.5,949417.1,989883.82,1000000.0,0,0,11457,0
timestamp_us,1003219.0,1753970813027187.5,1772834.6930715025,1753970809973708.0,1753970810035411.8,1753970810273669.0,1753970811496983.5,1753970813021109.0,1753970814557989.5,1753970815819687.0,1753970816065937.0,1753970816065937.0,0,0,0,0
ts_sec,1003219.0,1753970812.5365288,1.7701465339432585,1753970809.0,1753970810.0,1753970810.0,1753970811.0,1753970813.0,1753970814.0,1753970815.0,1753970816.0,1753970816.0,0,0,0,0
ts_usec,1003219.0,490657.3624612373,293568.8624107816,0.0,8635.0,42800.0,233111.5,490478.0,744638.0,952068.1,991068.2799999998,999998.0,0,0,2,0
flow_id,1003219.0,830748625468408.0,457858327872640.06,139165655766.0,286934599831526.0,302013675579458.0,530711365275210.0,666544011853970.0,1029886453468856.0,1890963109892002.0,2155200243413852.0,2251716171744908.0,0,0,0,0
direction,1003219.0,0.42379480452423646,0.4941588930617126,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,578060,0
ip_version,1003219.0,4.000143537951335,0.01694271482556302,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,0,0,0,0
src_port,1003219.0,22596.665854614,25358.82241200617,0.0,0.0,0.0,443.0,4500.0,50041.0,62317.0,64746.0,65534.0,0,0,80493,0
dst_port,1003219.0,28557.30925949369,26018.062308544086,0.0,0.0,0.0,443.0,33595.0,54089.0,62776.0,64851.91999999969,65534.0,0,0,80493,0
protocol,1003219.0,12.803279244113199,11.640257623397432,1.0,6.0,6.0,6.0,6.0,17.0,50.0,50.0,58.0,0,0,0,0
pkt_len,1003219.0,734.3382870539732,643.6061007506881,40.0,40.0,64.0,81.0,464.0,1470.0,1518.0,1518.0,1747.0,0,0,0,0
ip_len,1003219.0,715.8066593635089,644.1641576843659,28.0,40.0,40.0,63.0,447.0,1452.0,1500.0,1500.0,1729.0,0,0,0,0
payload_len,1003219.0,677.5253788056247,644.5124515372783,0.0,0.0,0.0,29.0,412.0,1412.0,1460.0,1460.0,1701.0,0,0,223618,0
ttl_or_hop_limit,1003219.0,95.06402091666924,54.22650861263447,1.0,49.0,52.0,58.0,63.0,127.0,245.0,255.0,255.0,0,0,0,0
tcp_seq,1003219.0,1336010968.8048153,1455840167.7606912,0.0,0.0,0.0,0.0,830049680.0,2744194833.5,3998483597.4,4193747562.4399996,4294852010.0,0,0,410276,0
tcp_ack,1003219.0,1268109777.2149322,1456240235.8125808,0.0,0.0,0.0,0.0,569101275.0,2498454495.0,3965279384.0,4190081959.0,4294967196.0,0,0,431392,0
tcp_flags,1003219.0,10.535912896386531,10.835245611635754,0.0,0.0,0.0,0.0,16.0,16.0,24.0,24.0,246.0,0,0,420516,0
tcp_window,1003219.0,5458.140574490714,13860.265541313993,-1.0,-1.0,-1.0,-1.0,252.0,2048.0,32768.0,65535.0,65535.0,0,0,2194,410142
tcp_header_len,1003219.0,14.594665770883527,14.207495822325553,-1.0,-1.0,-1.0,-1.0,20.0,20.0,32.0,52.0,60.0,0,0,0,410142
udp_len,1003219.0,233.17000874185996,465.84567961862354,-1.0,-1.0,-1.0,-1.0,-1.0,88.0,1258.0,1433.0,1709.0,0,0,0,673570
icmp_type,1003219.0,-0.9641593709848,0.5345314349762893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,0,0,3009,996227
icmp_code,1003219.0,-0.9912152780200535,0.14232496325503827,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,0,0,6413,996227
l7_proto,1003219.0,2.876595239922689,6.830037805301476,0.0,0.0,0.0,0.0,0.0,1.0,22.0,22.0,39.0,0,0,621737,0
flow_iat_us,1003219.0,54935.38840871235,375419.35705184145,0.0,0.0,0.0,14.0,202.0,3889.0,88566.89999999979,1543662.7599999812,6091203.0,0,0,66302,0
direction_iat_us,1003219.0,77614.20213831676,429949.7818690978,0.0,0.0,0.0,13.0,216.0,7288.5,231924.0999999995,2184656.0799999875,6091203.0,0,0,86600,0
packet_label,1003219.0,0.011834903445807943,0.10814273051648726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,991346,0
